frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.03333453670276775,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0666690734055355,False,75.66372975210778,68.94200461257273,66.49060083951716,65.06919393998976,92.35799911215054,86.83317338436964,87.02298546935747,90.44335243676011,162.01234520862909,124.45079348883236,68.96375859826666,65.7419196555744,61.0,60.00833275470999,84.75848040166836,81.49846624323675,80.00624975587844,86.7294644281861,170.13524032369074,116.04309544302927,167.0269439342048,57.0087712549569,19.026297590440446,10.04987562112089,30.01666203960727,114.28035701729323
3,0.10000361010830325,False,75.66372975210778,68.62215385719105,66.49060083951716,66.37017402418047,92.69843580125827,88.81441324469807,88.20430828479978,90.70832376358854,161.4465855941215,124.45079348883236,68.47627326307996,64.07807737440318,60.8276253029822,60.13318551349163,86.33075929238663,81.30190649671138,81.00617260431454,85.38149682454625,163.11039206623224,115.97413504743201,169.07394831847986,56.00892785976178,20.024984394500787,6.0,28.0,114.00438588054409
4,0.133338146811071,False,74.79304780526061,66.09841147864296,65.30696746902278,64.6297145282261,92.69843580125827,87.69264507357501,87.36704184073076,88.29496021857646,158.47397262642215,123.03657992645927,65.0,60.53924347066124,57.706152185014034,57.21887800367987,82.54089895318563,78.23042886243178,78.05767098754612,82.86132994346639,162.24672569885655,113.17243480636087,165.07574019219177,55.0,21.0,3.0,28.0178514522438,115.03912377969506
5,0.16667268351383877,False,74.30343195303969,67.77905281132217,64.93843238021688,64.19501538281614,91.0823802938856,86.57944328765345,86.05230967266364,89.56003573022959,161.62301816263673,122.3315167894194,66.24198064671678,62.64982043070834,58.54912467321779,58.034472514187634,84.11896337925236,80.22468448052632,80.00624975587844,85.09406559801923,169.09760495051373,113.86395390991831,166.04818577750254,56.00892785976178,20.0,7.0,28.0,116.21101496846157
6,0.2000072202166065,False,73.92563831310488,66.40783086353596,65.30696746902278,65.37583651472461,91.0823802938856,86.83317338436964,87.20665112249179,88.52683209061533,158.14550262337528,122.34786471369249,68.09552114493287,61.465437442517235,60.01666435249463,58.137767414994535,85.07055894961546,81.39410298049853,80.02499609497022,84.77027781009096,166.20770138594662,117.38824472663352,167.0478973228936,58.008620049092706,18.0,6.082762530298219,27.018512172212592,116.21101496846157
7,0.23334175691937425,False,74.30343195303969,66.40783086353596,66.49060083951716,65.19202405202648,90.75791976461338,87.82368700982668,87.09190547921202,88.52683209061533,160.87883639559305,123.7457069962429,67.11929677819934,62.39390995922599,60.01666435249463,58.034472514187634,85.72630868059116,81.39410298049853,81.0,85.72630868059116,167.38578195294843,116.69190203266035,168.04761230080004,59.00847396772772,17.029386365926403,8.0,25.019992006393608,118.10588469674151
8,0.266676293622142,False,72.47068372797375,65.45991139621256,65.30696746902278,64.28063471995279,90.75791976461338,86.70063436907483,86.14522621712709,87.55569655939013,157.64834283937145,122.34786471369249,66.24198064671678,62.03224967708329,59.22837157984339,58.137767414994535,84.11896337925236,80.39900496896712,80.02499609497022,84.48076704197234,165.3602128687551,117.41379816699569,166.02710622064097,59.00847396772772,18.0,6.0,26.019223662515376,116.21101496846157
9,0.30001083032490977,False,73.824115301167,66.76076692189807,65.5133574166368,65.27633568147036,89.81091247727082,85.98837130682264,86.20904824900923,88.07383266328314,157.4357011608231,124.48293055676348,67.11929677819934,60.40695324215582,60.207972893961475,58.137767414994535,84.11896337925236,80.62257748298549,79.05694150420949,82.00609733428362,161.55494421403512,117.51595636338071,165.0272704737008,61.00819617067857,16.0,7.0710678118654755,25.0,116.1077086157504
