frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,lips_label,teeth_label
0,0.0,0.3854303034422019,Closed,Closed
1,0.0333355063016079,0.3245004169286126,Closed,Closed
2,0.0666710126032159,0.3840780737903659,Closed,Closed
3,0.1000065189048239,0.4352871945735959,Closed,Closed
4,0.1333420252064319,0.4339127446801012,Closed,Closed
5,0.16667753150804,0.3690165654263099,Closed,Closed
6,0.2000130378096479,0.4173362763121698,Closed,Closed
7,0.2333485441112559,0.4553980780570971,Closed,Open
8,0.2666840504128639,0.4199779052465899,Closed,Closed
9,0.3000195567144719,0.4568164200576267,Closed,Open
10,0.33335506301608,0.4445217091612165,Closed,Open
11,0.3666905693176879,0.4623913720357062,Closed,Open
12,0.4000260756192959,0.4546691901070154,Closed,Open
13,0.4333615819209039,0.4869357395419652,Closed,Open
14,0.4666970882225119,0.4444932929155822,Closed,Open
15,0.50003259452412,0.4834946185485364,Closed,Open
16,0.5333681008257279,0.4100229110443687,Closed,Closed
17,0.5667036071273359,0.4405699452704453,Closed,Closed
18,0.6000391134289439,0.3834134585994725,Closed,Closed
19,0.6333746197305519,0.4669177899583689,Closed,Open
20,0.66671012603216,0.4195891720854316,Closed,Closed
21,0.7000456323337679,0.4323763271862234,Closed,Closed
22,0.7333811386353759,0.4117089462042049,Closed,Closed
23,0.7667166449369839,0.3773544719396469,Closed,Closed
24,0.8000521512385919,0.4086337412937617,Closed,Closed
25,0.8333876575401998,0.3553916810318984,Closed,Closed
26,0.8667231638418079,0.4685195871987712,Closed,Open
27,0.9000586701434159,0.4749787373137547,Closed,Open
28,0.933394176445024,0.4577408247821673,Closed,Open
29,0.9667296827466318,0.5158224355615585,Closed,Open
30,1.00006518904824,0.5245936845821554,Closed,Open
31,1.0334006953498478,0.4799678912983762,Closed,Open
32,1.066736201651456,0.5129747795119577,Closed,Open
33,1.1000717079530635,0.509475773682821,Closed,Open
34,1.1334072142546718,0.5090071573257948,Closed,Open
35,1.16674272055628,0.5592253182706646,Closed,Open
36,1.2000782268578878,0.4509665026549688,Closed,Open
37,1.233413733159496,0.3362732521080292,Closed,Closed
38,1.2667492394611035,0.4969632552455163,Closed,Open
39,1.3000847457627118,0.3707461546977973,Closed,Closed
40,1.33342025206432,0.3177918931106005,Closed,Closed
41,1.3667557583659278,0.3681348598112566,Closed,Closed
42,1.400091264667536,0.3550113489048479,Closed,Closed
43,1.4334267709691435,0.4138893912808675,Closed,Closed
44,1.4667622772707518,0.3873243933817213,Closed,Closed
45,1.5000977835723597,0.3847798482288291,Closed,Closed
46,1.5334332898739678,0.4390661651587075,Closed,Closed
47,1.566768796175576,0.4584611638493138,Closed,Open
48,1.6001043024771835,0.3542961659344852,Closed,Closed
49,1.6334398087787918,0.3989036068917412,Closed,Closed
50,1.6667753150803997,0.3127244138374245,Closed,Closed
51,1.7001108213820078,0.4167419709292408,Closed,Closed
52,1.7334463276836158,0.4876507238019492,Closed,Open
53,1.7667818339852237,0.5173713158688732,Closed,Open
54,1.8001173402868318,0.5206769034354265,Closed,Open
