frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,aspect_ratio_between_lips_to_mouth_width,aspect_ratio_top_lip_heigh_to_mouth_width,aspect_ratio_bottom_lip_heigh_to_mouth_width,aspect_ratio__mouth_width__nose_to_chin,aspect_ratio__mouth_width__outside_lips,aspect_ratio__mouth_width__inside_lips,anchor_to_top_lip_top,anchor_to_bottom_lip_bottom,anchor_to_top_lip_bottom,anchor_to_bottom_lip_top,anchor_to_top_lip_top_center,anchor_to_top_lip_bottom_center,anchor_to_bottom_lip_top_center,anchor_to_bottom_lip_bottom_center,anchor_to_chin,anchor_to_nose
0,0.0,0.3854303034422019,0.09298397599199379,0.07554948049349496,0.1337907427632185,0.8475081562898029,0.8475081562898029,10.754541191980252,66.48555354247947,72.32809567759253,64.09469809671981,65.3741176495757,87.06969431255274,86.03706235826945,87.44989083494357,94.34354737685209,170.86180757473022,102.35357681683122
1,0.0333355063016079,0.3245004169286126,0.04650872567658568,0.0809675270254212,0.12743469176624314,0.8010818012730895,0.8010818012730895,21.501341639713843,68.78850429981998,67.26322708797697,65.08434269860417,64.13471639848584,88.8396365652352,86.84632253678751,86.71338103434303,90.11950283103602,177.22456534710636,106.37090825727813
2,0.0666710126032159,0.38407807379036596,0.028752548791423336,0.11854979567276383,0.15798814630224345,0.7443695564234589,0.7443695564234589,34.77952536501016,74.77874338963875,67.98841625131556,66.19529350858944,66.40297218479319,94.15358835017564,89.30648501751587,88.84632253678751,91.46379717670655,178.96564453269997,121.28477417941717
3,0.1000065189048239,0.4352871945735959,0.09142653281313463,0.11420309528188732,0.15978665930311858,0.7019948040257363,0.7019948040257363,10.937743882772908,75.27738741963248,68.20222853812463,65.39053768676114,63.14063130613904,94.72831622974006,89.09120615350939,87.67295529843925,92.11806407934499,180.367068593113,127.25355487073844
4,0.1333420252064319,0.4339127446801012,0.05073100180259372,0.12452049548293893,0.1643389061601301,0.7218235713489166,0.7218235713489166,19.71181258929669,75.31070236309003,68.52450835629716,65.99800129553105,64.76911489901535,94.7534350686861,89.40955055758852,88.73127800986833,92.69600481307131,179.7059238462423,125.99036545434457
5,0.16667753150804,0.3690165654263099,0.05809411729046448,0.09524730986021086,0.1345850565371437,0.7814510754885547,0.7814510754885547,17.21344684523056,73.56884371844528,68.33282889910748,65.8731788476196,65.28393028337555,93.91243608217954,90.43214696619191,89.85684159633628,93.06343276117215,178.59961474143674,117.22404088857652
6,0.2000130378096479,0.4173362763121698,0.08044056713821386,0.126605310244212,0.1551650830212666,0.7043607795314784,0.7043607795314784,12.431538408745789,76.59174463773832,67.10006744254636,66.2534187143378,63.71531090445586,95.07078009389636,88.64102698722883,87.2579896731161,90.87449162241552,178.4248583596611,126.8713818223606
7,0.2333485441112559,0.45539807805709714,0.07914487330075981,0.1298158166939259,0.1695406681472114,0.7011612659797564,0.7011612659797564,12.635057184309115,77.93301352806222,70.33812034287628,66.80570171703329,65.13371523065125,96.00064940430886,89.73272915582348,88.67118820128044,93.72684119474395,181.10853166730132,129.91110249753024
8,0.2666840504128639,0.4199779052465899,0.05130808653514648,0.12658048889797854,0.1718799626786432,0.7091802857920004,0.7091802857920004,19.490105118517555,75.3895265722353,67.25007671860406,65.76473923440416,64.33018001893599,94.57860265083181,88.69542007600876,87.80755964940764,91.45342745582212,179.61911348738874,125.88743881412303
9,0.3000195567144719,0.4568164200576267,0.1114509012349444,0.12306007004940682,0.169576437375547,0.6809333229504888,0.6809333229504888,8.972560911750252,75.53644546767852,70.09213999273689,66.00947598612646,63.67294602076672,93.11921440548895,87.06341733798806,85.7952260953447,91.8075343611137,179.898839765319,126.94990822743267
