frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,94.34354737685209,Open,Open,Open,Closed,Closed
1,0.0333355063016079,90.11950283103602,Open,Open,Closed,Closed,Closed
2,0.0666710126032159,91.46379717670656,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,92.118064079345,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,92.69600481307133,Open,Open,Closed,Closed,Closed
5,0.16667753150804,93.06343276117217,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,90.87449162241552,Open,Open,Closed,Closed,Closed
7,0.2333485441112559,93.72684119474395,Open,Open,Closed,Closed,Closed
8,0.2666840504128639,91.45342745582212,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,91.8075343611137,Open,Open,Closed,Closed,Closed
10,0.33335506301608,90.59417150942784,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,91.96367912525304,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,93.11447793051836,Open,Open,Closed,Closed,Closed
13,0.4333615819209039,91.36096547883882,Open,Open,Closed,Closed,Closed
14,0.4666970882225119,91.73827577969196,Open,Open,Closed,Closed,Closed
15,0.50003259452412,91.63801809323188,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,94.17637400602868,Open,Open,Open,Closed,Closed
17,0.5667036071273359,92.73158257304632,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,91.26258436020429,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,91.18827768467408,Open,Open,Closed,Closed,Closed
20,0.66671012603216,93.51275335035308,Open,Open,Closed,Closed,Closed
21,0.7000456323337679,93.86747444281808,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,95.25601325905689,Open,Open,Open,Closed,Closed
23,0.7667166449369839,92.51144536354404,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,91.43132970001244,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,89.62111989725561,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,92.80040811243214,Open,Open,Closed,Closed,Closed
27,0.9000586701434159,90.2398204299788,Open,Open,Closed,Closed,Closed
28,0.933394176445024,92.13579245220008,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,95.13836621045382,Open,Open,Open,Closed,Closed
30,1.00006518904824,99.46097321434726,Open,Open,Open,Closed,Closed
31,1.0334006953498478,94.69157506638172,Open,Open,Open,Closed,Closed
32,1.066736201651456,113.25746869420288,Open,Open,Open,Open,Open
33,1.1000717079530635,114.26698412127551,Open,Open,Open,Open,Open
34,1.1334072142546718,121.23296582200742,Open,Open,Open,Open,Open
35,1.16674272055628,110.4961735209272,Open,Open,Open,Open,Closed
36,1.2000782268578878,101.55242587429164,Open,Open,Open,Closed,Closed
37,1.233413733159496,85.85844989937105,Open,Open,Closed,Closed,Closed
38,1.2667492394611035,99.8566606421312,Open,Open,Open,Closed,Closed
39,1.3000847457627118,106.75591497799508,Open,Open,Open,Open,Closed
40,1.33342025206432,109.92394161486554,Open,Open,Open,Open,Closed
41,1.3667557583659278,100.9926068172262,Open,Open,Open,Closed,Closed
42,1.400091264667536,120.89000502688783,Open,Open,Open,Open,Open
43,1.4334267709691435,112.60823570859488,Open,Open,Open,Open,Open
44,1.4667622772707518,101.00461819070708,Open,Open,Open,Closed,Closed
45,1.5000977835723597,96.49982960052772,Open,Open,Open,Closed,Closed
46,1.5334332898739678,106.39121090404872,Open,Open,Open,Open,Closed
47,1.566768796175576,95.98297475314844,Open,Open,Open,Closed,Closed
48,1.6001043024771835,102.66011063516166,Open,Open,Open,Closed,Closed
49,1.6334398087787918,108.76311610071367,Open,Open,Open,Open,Closed
50,1.6667753150803997,115.07452349230978,Open,Open,Open,Open,Open
51,1.7001108213820078,108.57180003526096,Open,Open,Open,Open,Closed
52,1.7334463276836158,101.28207300334032,Open,Open,Open,Closed,Closed
53,1.7667818339852237,92.37980290260552,Open,Open,Closed,Closed,Closed
54,1.8001173402868318,88.18394330950237,Open,Open,Closed,Closed,Closed
55,1.8334528465884397,91.33557454984984,Open,Open,Closed,Closed,Closed
56,1.8667883528900475,95.20105897316242,Open,Open,Open,Closed,Closed
57,1.900123859191656,87.28453648310487,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,87.60937880312136,Open,Open,Closed,Closed,Closed
59,1.966794871794872,85.09356676692786,Open,Open,Closed,Closed,Closed
60,2.00013037809648,85.25919295204305,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,81.49825701763305,Open,Closed,Closed,Closed,Closed
62,2.0668013906996956,82.02358341431753,Open,Closed,Closed,Closed,Closed
63,2.100136897001304,81.93262872797953,Open,Closed,Closed,Closed,Closed
