frame,timestamp,anchor_to_bottom_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,72.32809567759253,Open,Open,Closed,Closed,Closed
1,0.0333355063016079,67.26322708797697,Open,Open,Closed,Closed,Closed
2,0.0666710126032159,67.98841625131556,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,68.20222853812463,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,68.52450835629716,Open,Open,Closed,Closed,Closed
5,0.16667753150804,68.33282889910748,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,67.10006744254636,Open,Open,Closed,Closed,Closed
7,0.2333485441112559,70.33812034287628,Open,Open,Closed,Closed,Closed
8,0.2666840504128639,67.25007671860406,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,70.09213999273689,Open,Open,Closed,Closed,Closed
10,0.33335506301608,68.50347205478938,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,68.07228325194828,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,69.8508144919301,Open,Open,Closed,Closed,Closed
13,0.4333615819209039,66.16120475166173,Open,Closed,Closed,Closed,Closed
14,0.4666970882225119,68.52494174877498,Open,Open,Closed,Closed,Closed
15,0.50003259452412,68.27708763999664,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,69.19029657826404,Open,Open,Closed,Closed,Closed
17,0.5667036071273359,67.52923360829945,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,68.51839284282107,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,69.42876188150592,Open,Open,Closed,Closed,Closed
20,0.66671012603216,69.02489115392848,Open,Open,Closed,Closed,Closed
21,0.7000456323337679,70.06406656515841,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,72.10327188998934,Open,Open,Closed,Closed,Closed
23,0.7667166449369839,69.15444639681192,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,67.6924223322146,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,67.8022934622256,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,69.6189446827326,Open,Open,Closed,Closed,Closed
27,0.9000586701434159,67.3893571636346,Open,Open,Closed,Closed,Closed
28,0.933394176445024,69.24168402031046,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,73.12730488892717,Open,Open,Closed,Closed,Closed
30,1.00006518904824,77.98756155777045,Open,Open,Open,Closed,Closed
31,1.0334006953498478,74.26449227691705,Open,Open,Closed,Closed,Closed
32,1.066736201651456,94.350208920296,Open,Open,Open,Open,Closed
33,1.1000717079530635,95.2912202860092,Open,Open,Open,Open,Open
34,1.1334072142546718,103.4773203552394,Open,Open,Open,Open,Open
35,1.16674272055628,91.46229660230094,Open,Open,Open,Open,Closed
36,1.2000782268578878,79.22447623245776,Open,Open,Open,Closed,Closed
37,1.233413733159496,61.7724668450271,Open,Closed,Closed,Closed,Closed
38,1.2667492394611035,78.3401119396867,Open,Open,Open,Closed,Closed
39,1.3000847457627118,83.38056001166075,Open,Open,Open,Closed,Closed
40,1.33342025206432,86.46229065539191,Open,Open,Open,Open,Closed
41,1.3667557583659278,79.72631793116847,Open,Open,Open,Closed,Closed
