frame,timestamp,anchor_to_bottom_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,87.44989083494357,Open,Open,Open,Closed,Closed
1,0.0333355063016079,86.71338103434303,Open,Open,Open,Closed,Closed
2,0.0666710126032159,88.84632253678751,Open,Open,Open,Closed,Closed
3,0.1000065189048239,87.67295529843925,Open,Open,Open,Closed,Closed
4,0.1333420252064319,88.73127800986833,Open,Open,Open,Closed,Closed
5,0.16667753150804,89.85684159633628,Open,Open,Open,Closed,Closed
6,0.2000130378096479,87.2579896731161,Open,Open,Open,Closed,Closed
7,0.2333485441112559,88.67118820128044,Open,Open,Open,Closed,Closed
8,0.2666840504128639,87.80755964940764,Open,Open,Open,Closed,Closed
9,0.3000195567144719,85.7952260953447,Open,Open,Open,Closed,Closed
10,0.33335506301608,85.21395473904352,Open,Open,Open,Closed,Closed
11,0.3666905693176879,87.21910987196514,Open,Open,Open,Closed,Closed
12,0.4000260756192959,87.68200891967581,Open,Open,Open,Closed,Closed
13,0.4333615819209039,87.25425061377805,Open,Open,Open,Closed,Closed
14,0.4666970882225119,86.8171178136682,Open,Open,Open,Closed,Closed
15,0.50003259452412,86.6723219053285,Open,Open,Open,Closed,Closed
16,0.5333681008257279,89.19522310655259,Open,Open,Open,Closed,Closed
17,0.5667036071273359,88.6177669573311,Open,Open,Open,Closed,Closed
18,0.6000391134289439,86.57314548116784,Open,Open,Open,Closed,Closed
19,0.6333746197305519,86.16452782702352,Open,Open,Open,Closed,Closed
20,0.66671012603216,89.11418860650981,Open,Open,Open,Closed,Closed
21,0.7000456323337679,88.68362899143327,Open,Open,Open,Closed,Closed
22,0.7333811386353759,90.78028831902742,Open,Open,Open,Open,Closed
23,0.7667166449369839,88.06788469204983,Open,Open,Open,Closed,Closed
24,0.8000521512385919,87.54603954654274,Open,Open,Open,Closed,Closed
25,0.8333876575401998,85.73267856238797,Open,Open,Open,Closed,Closed
26,0.8667231638418079,87.14372991612271,Open,Open,Open,Closed,Closed
27,0.9000586701434159,83.75578486437064,Open,Open,Open,Closed,Closed
28,0.933394176445024,84.98471169102282,Open,Open,Open,Closed,Closed
29,0.9667296827466318,85.41335697007341,Open,Open,Open,Closed,Closed
30,1.00006518904824,86.43812245846925,Open,Open,Open,Closed,Closed
31,1.0334006953498478,79.26076744137806,Open,Open,Closed,Closed,Closed
32,1.066736201651456,93.54260064059524,Open,Open,Open,Open,Closed
33,1.1000717079530635,88.90151159685593,Open,Open,Open,Closed,Closed
34,1.1334072142546718,92.36197730074473,Open,Open,Open,Open,Closed
35,1.16674272055628,90.64843057381756,Open,Open,Open,Open,Closed
36,1.2000782268578878,87.10638252024948,Open,Open,Open,Closed,Closed
37,1.233413733159496,80.6974558283104,Open,Open,Closed,Closed,Closed
38,1.2667492394611035,83.17792347306133,Open,Open,Closed,Closed,Closed
39,1.3000847457627118,89.14266868147175,Open,Open,Open,Closed,Closed
40,1.33342025206432,92.07841704636598,Open,Open,Open,Open,Closed
41,1.3667557583659278,83.7230170987801,Open,Open,Open,Closed,Closed
42,1.400091264667536,100.72680508593628,Open,Open,Open,Open,Open
43,1.4334267709691435,93.61643372272805,Open,Open,Open,Open,Closed
44,1.4667622772707518,86.10776872121335,Open,Open,Open,Closed,Closed
45,1.5000977835723597,81.95883931389773,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,92.7851888965774,Open,Open,Open,Open,Closed
47,1.566768796175576,84.04725422472308,Open,Open,Open,Closed,Closed
48,1.6001043024771835,87.93699946321276,Open,Open,Open,Closed,Closed
49,1.6334398087787918,91.52916181463875,Open,Open,Open,Open,Closed
50,1.6667753150803997,104.58785563213252,Open,Open,Open,Open,Open
51,1.7001108213820078,90.74075085756388,Open,Open,Open,Open,Closed
52,1.7334463276836158,85.70025413285467,Open,Open,Open,Closed,Closed
53,1.7667818339852237,84.25785332526152,Open,Open,Open,Closed,Closed
54,1.8001173402868318,81.4117753566169,Open,Open,Closed,Closed,Closed
55,1.8334528465884397,85.54237890278968,Open,Open,Open,Closed,Closed
56,1.8667883528900475,87.39993483935075,Open,Open,Open,Closed,Closed
57,1.900123859191656,82.0891335749226,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,84.83788646491118,Open,Open,Open,Closed,Closed
59,1.966794871794872,82.31322265906061,Open,Open,Closed,Closed,Closed
60,2.00013037809648,79.67714852027353,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,77.68178517718928,Open,Open,Closed,Closed,Closed
62,2.0668013906996956,77.69512584204236,Open,Open,Closed,Closed,Closed
63,2.100136897001304,78.66758975097264,Open,Open,Closed,Closed,Closed
64,2.133472403302912,78.84540305399179,Open,Open,Closed,Closed,Closed
65,2.1668079096045196,79.30064818310979,Open,Open,Closed,Closed,Closed
66,2.2001434159061275,73.208858054813,Open,Closed,Closed,Closed,Closed
67,2.233478922207736,71.32868332514218,Open,Closed,Closed,Closed,Closed
68,2.2668144285093437,72.80116304724923,Open,Closed,Closed,Closed,Closed
69,2.3001499348109515,74.73423485156374,Open,Closed,Closed,Closed,Closed
70,2.33348544111256,72.00384592629001,Open,Closed,Closed,Closed,Closed
71,2.3668209474141677,69.7551058267641,Open,Closed,Closed,Closed,Closed
72,2.4001564537157756,68.50362299817223,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,67.52999300341266,Closed,Closed,Closed,Closed,Closed
74,2.4668274663189917,96.12363799656124,Open,Open,Open,Open,Closed
75,2.5001629726205996,71.66878811208113,Open,Closed,Closed,Closed,Closed
76,2.5334984789222075,77.81738071710737,Open,Open,Closed,Closed,Closed
77,2.566833985223816,73.7972302876622,Open,Closed,Closed,Closed,Closed
78,2.6001694915254236,85.72373436029287,Open,Open,Open,Closed,Closed
79,2.6335049978270315,77.17583701429336,Open,Open,Closed,Closed,Closed
80,2.66684050412864,78.63406011768427,Open,Open,Closed,Closed,Closed
81,2.7001760104302477,87.91939559229809,Open,Open,Open,Closed,Closed
82,2.7335115167318556,87.38576865066017,Open,Open,Open,Closed,Closed
83,2.7668470230334634,83.92740431508437,Open,Open,Open,Closed,Closed
84,2.8001825293350717,82.85191767721122,Open,Open,Closed,Closed,Closed
85,2.8335180356366796,83.88237165232391,Open,Open,Open,Closed,Closed
86,2.8668535419382875,80.6833340055504,Open,Open,Closed,Closed,Closed
87,2.900189048239896,80.22676598205219,Open,Open,Closed,Closed,Closed
88,2.9335245545415036,76.57367362067494,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,73.42950747611374,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,70.14516464895311,Open,Closed,Closed,Closed,Closed
91,3.0335310734463277,70.0192099508123,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,67.31042167682973,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,68.34865048682086,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,71.18050626568737,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,74.78942400906257,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,78.57261310856354,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,87.73620337304395,Open,Open,Open,Closed,Closed
98,3.2668796175575836,84.15008444159199,Open,Open,Open,Closed,Closed
99,3.3002151238591915,81.170565457649,Open,Open,Closed,Closed,Closed
100,3.3335506301607993,83.20691400273648,Open,Open,Closed,Closed,Closed
101,3.3668861364624076,83.15292200959985,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,83.80669393083357,Open,Open,Open,Closed,Closed
103,3.4335571490656234,81.02478195270956,Open,Open,Closed,Closed,Closed
104,3.4668926553672317,80.60177441405628,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,76.93863122416158,Open,Open,Closed,Closed,Closed
106,3.5335636679704474,76.79650127928502,Open,Open,Closed,Closed,Closed
107,3.5668991742720553,70.84815171069769,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,72.25704556059344,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,76.25884892782226,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,72.67339819580545,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,75.95631499189173,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,78.35339225777473,Open,Open,Closed,Closed,Closed
113,3.7669122120817033,78.6815018108136,Open,Open,Closed,Closed,Closed
114,3.800247718383312,80.33040030194519,Open,Open,Closed,Closed,Closed
115,3.833583224684919,87.7801097122748,Open,Open,Open,Closed,Closed
116,3.8669187309865274,83.46244400604354,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,83.68472573439513,Open,Open,Open,Closed,Closed
118,3.933589743589744,87.57332442056546,Open,Open,Open,Closed,Closed
119,3.966925249891351,85.12569279310163,Open,Open,Open,Closed,Closed
120,4.00026075619296,89.94536994221795,Open,Open,Open,Closed,Closed
121,4.033596262494568,83.298515513819,Open,Open,Closed,Closed,Closed
122,4.0669317687961755,77.67183165800756,Open,Open,Closed,Closed,Closed
123,4.100267275097783,84.29181806173446,Open,Open,Open,Closed,Closed
124,4.133602781399391,80.28618683372908,Open,Open,Closed,Closed,Closed
125,4.166938287700999,78.38121752193469,Open,Open,Closed,Closed,Closed
126,4.200273794002608,74.88251826700305,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,74.4681423339064,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,73.71219952868762,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,69.53501138075258,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,69.11669641767557,Closed,Closed,Closed,Closed,Closed
131,4.366951325510647,74.23061676446369,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,84.31350242951336,Open,Open,Open,Closed,Closed
133,4.433622338113864,85.541655004522,Open,Open,Open,Closed,Closed
134,4.466957844415472,88.84230041723472,Open,Open,Open,Closed,Closed
135,4.5002933507170795,95.23452775325968,Open,Open,Open,Open,Closed
136,4.533628857018687,94.66481755343165,Open,Open,Open,Open,Closed
137,4.566964363320295,93.0852131222182,Open,Open,Open,Open,Closed
138,4.600299869621903,92.48611647022192,Open,Open,Open,Open,Closed
139,4.633635375923511,83.8914398338393,Open,Open,Open,Closed,Closed
140,4.66697088222512,92.34003624086304,Open,Open,Open,Open,Closed
141,4.700306388526728,85.16288758852329,Open,Open,Open,Closed,Closed
142,4.733641894828335,83.78339556930615,Open,Open,Open,Closed,Closed
143,4.766977401129943,81.91778476544832,Open,Open,Closed,Closed,Closed
144,4.800312907431551,79.56330966651001,Open,Open,Closed,Closed,Closed
145,4.833648413733159,79.94198019858905,Open,Open,Closed,Closed,Closed
146,4.866983920034767,78.47594477903962,Open,Open,Closed,Closed,Closed
147,4.900319426336376,76.45652199883392,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,74.00985797082697,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,73.83563623217364,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,79.84595209862445,Open,Open,Closed,Closed,Closed
151,5.033661451542807,85.54060439104285,Open,Open,Open,Closed,Closed
152,5.066996957844415,89.46054441865193,Open,Open,Open,Closed,Closed
153,5.100332464146024,86.90732577637773,Open,Open,Open,Closed,Closed
154,5.133667970447632,92.87398729566677,Open,Open,Open,Open,Closed
155,5.167003476749239,93.190470119715,Open,Open,Open,Open,Closed
156,5.200338983050847,88.98681208682888,Open,Open,Open,Closed,Closed
157,5.233674489352455,86.16093260045479,Open,Open,Open,Closed,Closed
158,5.267009995654063,79.75920409760752,Open,Open,Closed,Closed,Closed
159,5.300345501955671,82.04122254650255,Open,Open,Closed,Closed,Closed
160,5.33368100825728,74.0366515763717,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,73.76078779406345,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,75.30869458810479,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,74.37968720369909,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,70.1248579950984,Open,Closed,Closed,Closed,Closed
165,5.500358539765319,69.32655185941852,Closed,Closed,Closed,Closed,Closed
