frame,timestamp,anchor_to_bottom_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,65.3741176495757,Open,Open,Open,Closed,Closed
1,0.0333355063016079,64.13471639848584,Open,Open,Open,Closed,Closed
2,0.0666710126032159,66.40297218479319,Open,Open,Open,Closed,Closed
3,0.1000065189048239,63.14063130613904,Open,Open,Open,Closed,Closed
4,0.1333420252064319,64.76911489901535,Open,Open,Open,Closed,Closed
5,0.16667753150804,65.28393028337555,Open,Open,Open,Closed,Closed
6,0.2000130378096479,63.71531090445586,Open,Open,Open,Closed,Closed
7,0.2333485441112559,65.13371523065125,Open,Open,Open,Closed,Closed
8,0.2666840504128639,64.33018001893599,Open,Open,Open,Closed,Closed
9,0.3000195567144719,63.67294602076672,Open,Open,Open,Closed,Closed
10,0.33335506301608,63.1653910752746,Open,Open,Open,Closed,Closed
11,0.3666905693176879,63.21411960979567,Open,Open,Open,Closed,Closed
12,0.4000260756192959,64.12515182025552,Open,Open,Open,Closed,Closed
13,0.4333615819209039,62.7782934721108,Open,Open,Open,Closed,Closed
14,0.4666970882225119,63.2892650399988,Open,Open,Open,Closed,Closed
15,0.50003259452412,62.706901555025894,Open,Open,Open,Closed,Closed
16,0.5333681008257279,64.66530224611033,Open,Open,Open,Closed,Closed
17,0.5667036071273359,63.122261859045665,Open,Open,Open,Closed,Closed
18,0.6000391134289439,63.56464859497237,Open,Open,Open,Closed,Closed
19,0.6333746197305519,63.65974682122747,Open,Open,Open,Closed,Closed
20,0.66671012603216,64.05217929514109,Open,Open,Open,Closed,Closed
21,0.7000456323337679,64.10844990706883,Open,Open,Open,Closed,Closed
22,0.7333811386353759,67.69804741923338,Open,Open,Open,Closed,Closed
23,0.7667166449369839,64.03723852783827,Open,Open,Open,Closed,Closed
24,0.8000521512385919,63.518799735390985,Open,Open,Open,Closed,Closed
25,0.8333876575401998,63.633201753851026,Open,Open,Open,Closed,Closed
26,0.8667231638418079,63.5815148064836,Open,Open,Open,Closed,Closed
27,0.9000586701434159,60.1777176175417,Open,Open,Closed,Closed,Closed
28,0.933394176445024,61.327597896244235,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,62.46569891805031,Open,Open,Closed,Closed,Closed
30,1.00006518904824,63.90621244469273,Open,Open,Open,Closed,Closed
31,1.0334006953498478,55.49178670666341,Open,Closed,Closed,Closed,Closed
32,1.066736201651456,72.82671756950364,Open,Open,Open,Open,Closed
33,1.1000717079530635,67.01877138535654,Open,Open,Open,Closed,Closed
34,1.1334072142546718,71.32994048351668,Open,Open,Open,Open,Closed
35,1.16674272055628,68.46467531643813,Open,Open,Open,Open,Closed
36,1.2000782268578878,61.860452826206846,Open,Open,Closed,Closed,Closed
37,1.233413733159496,56.64239716890172,Open,Closed,Closed,Closed,Closed
38,1.2667492394611035,58.64553376553954,Open,Open,Closed,Closed,Closed
39,1.3000847457627118,62.31285317140066,Open,Open,Closed,Closed,Closed
40,1.33342025206432,65.4599410233788,Open,Open,Open,Closed,Closed
41,1.3667557583659278,58.60619250010187,Open,Open,Closed,Closed,Closed
42,1.400091264667536,76.1263579167793,Open,Open,Open,Open,Open
43,1.4334267709691435,68.90192976187814,Open,Open,Open,Open,Closed
44,1.4667622772707518,61.736073506880814,Open,Open,Closed,Closed,Closed
45,1.5000977835723597,58.54424123833195,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,69.29734404574734,Open,Open,Open,Open,Closed
47,1.566768796175576,56.687077233008985,Open,Closed,Closed,Closed,Closed
48,1.6001043024771835,64.5641496118007,Open,Open,Open,Closed,Closed
49,1.6334398087787918,65.17824244533139,Open,Open,Open,Closed,Closed
50,1.6667753150803997,78.16119684114122,Open,Open,Open,Open,Open
51,1.7001108213820078,62.829404459220086,Open,Open,Open,Closed,Closed
52,1.7334463276836158,59.986870886896575,Open,Open,Closed,Closed,Closed
53,1.7667818339852237,60.4216483259993,Open,Open,Closed,Closed,Closed
54,1.8001173402868318,60.01666435249463,Open,Open,Closed,Closed,Closed
55,1.8334528465884397,65.42776687723597,Open,Open,Open,Closed,Closed
56,1.8667883528900475,65.82171608853733,Open,Open,Open,Closed,Closed
57,1.900123859191656,60.01467807670695,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,64.71860869187557,Open,Open,Open,Closed,Closed
59,1.966794871794872,61.24746864530297,Open,Open,Closed,Closed,Closed
60,2.00013037809648,57.897920764058625,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,55.59762194510536,Open,Closed,Closed,Closed,Closed
62,2.0668013906996956,57.15618487889495,Open,Open,Closed,Closed,Closed
63,2.100136897001304,56.66746241179246,Open,Closed,Closed,Closed,Closed
64,2.133472403302912,59.44472756962712,Open,Open,Closed,Closed,Closed
65,2.1668079096045196,57.94500957130967,Open,Open,Closed,Closed,Closed
66,2.2001434159061275,52.41382743210894,Open,Closed,Closed,Closed,Closed
67,2.233478922207736,52.31468013430597,Open,Closed,Closed,Closed,Closed
68,2.2668144285093437,53.89129259869423,Open,Closed,Closed,Closed,Closed
69,2.3001499348109515,55.73875622855367,Open,Closed,Closed,Closed,Closed
70,2.33348544111256,54.50510150968569,Open,Closed,Closed,Closed,Closed
71,2.3668209474141677,52.331100560284,Open,Closed,Closed,Closed,Closed
72,2.4001564537157756,51.00981807108283,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,49.51723625709381,Closed,Closed,Closed,Closed,Closed
74,2.4668274663189917,72.6031637573369,Open,Open,Open,Open,Closed
75,2.5001629726205996,51.022757453897455,Closed,Closed,Closed,Closed,Closed
76,2.5334984789222075,55.59964367564244,Open,Closed,Closed,Closed,Closed
77,2.566833985223816,51.58773423653473,Open,Closed,Closed,Closed,Closed
78,2.6001694915254236,62.02087313950564,Open,Open,Closed,Closed,Closed
79,2.6335049978270315,55.99693393472344,Open,Closed,Closed,Closed,Closed
80,2.66684050412864,55.58609657109132,Open,Closed,Closed,Closed,Closed
81,2.7001760104302477,65.33472720313242,Open,Open,Open,Closed,Closed
82,2.7335115167318556,61.746060046151314,Open,Open,Closed,Closed,Closed
83,2.7668470230334634,59.26829267484939,Open,Open,Closed,Closed,Closed
84,2.8001825293350717,59.34548360661741,Open,Open,Closed,Closed,Closed
85,2.8335180356366796,61.25026994353064,Open,Open,Closed,Closed,Closed
86,2.8668535419382875,60.34091723557704,Open,Open,Closed,Closed,Closed
87,2.900189048239896,56.12900196296688,Open,Closed,Closed,Closed,Closed
