frame,timestamp,anchor_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,170.86180757473022,Open,Closed,Closed,Closed,Closed
1,0.0333355063016079,177.22456534710636,Open,Open,Closed,Closed,Closed
2,0.0666710126032159,178.96564453269997,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,180.367068593113,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,179.7059238462423,Open,Open,Closed,Closed,Closed
5,0.16667753150804,178.59961474143674,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,178.4248583596611,Open,Open,Closed,Closed,Closed
7,0.2333485441112559,181.10853166730132,Open,Open,Closed,Closed,Closed
8,0.2666840504128639,179.61911348738874,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,179.898839765319,Open,Open,Closed,Closed,Closed
10,0.33335506301608,178.80674759778904,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,177.30675094269012,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,179.75078521149962,Open,Open,Closed,Closed,Closed
13,0.4333615819209039,177.57463313490206,Open,Open,Closed,Closed,Closed
14,0.4666970882225119,180.13655787396337,Open,Open,Closed,Closed,Closed
15,0.50003259452412,178.3006392540887,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,181.26633121751556,Open,Open,Closed,Closed,Closed
17,0.5667036071273359,180.0470186535308,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,180.18489591483885,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,176.85815054701294,Open,Open,Closed,Closed,Closed
20,0.66671012603216,181.02590208942263,Open,Open,Closed,Closed,Closed
21,0.7000456323337679,181.3655333199061,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,179.86920733580592,Open,Open,Closed,Closed,Closed
23,0.7667166449369839,179.6063814098389,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,177.5648598409552,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,177.78233116280333,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,178.28071288428094,Open,Open,Closed,Closed,Closed
27,0.9000586701434159,180.6797359219567,Open,Open,Closed,Closed,Closed
28,0.933394176445024,185.93782598856745,Open,Open,Open,Closed,Closed
29,0.9667296827466318,184.8544408184685,Open,Open,Closed,Closed,Closed
30,1.00006518904824,187.7262821525656,Open,Open,Open,Closed,Closed
31,1.0334006953498478,187.04710324421129,Open,Open,Open,Closed,Closed
32,1.066736201651456,198.4128901770864,Open,Open,Open,Open,Closed
33,1.1000717079530635,198.46151539420453,Open,Open,Open,Open,Closed
34,1.1334072142546718,200.74683111920444,Open,Open,Open,Open,Closed
35,1.16674272055628,184.1274015850807,Open,Open,Closed,Closed,Closed
36,1.2000782268578878,184.3380716489959,Open,Open,Closed,Closed,Closed
37,1.233413733159496,183.4301000292469,Open,Open,Closed,Closed,Closed
38,1.2667492394611035,194.52650990879232,Open,Open,Open,Closed,Closed
39,1.3000847457627118,193.97482676010225,Open,Open,Open,Closed,Closed
40,1.33342025206432,202.15719418886016,Open,Open,Open,Open,Closed
41,1.3667557583659278,189.5299887742456,Open,Open,Open,Closed,Closed
42,1.400091264667536,211.19298256377175,Open,Open,Open,Open,Open
43,1.4334267709691435,196.85493122795137,Open,Open,Open,Closed,Closed
44,1.4667622772707518,188.85059436471036,Open,Open,Open,Closed,Closed
45,1.5000977835723597,182.2429533635394,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,186.7527770189665,Open,Open,Open,Closed,Closed
47,1.566768796175576,177.07097925234285,Open,Open,Closed,Closed,Closed
48,1.6001043024771835,189.6774779378169,Open,Open,Open,Closed,Closed
49,1.6334398087787918,196.19439723072213,Open,Open,Open,Closed,Closed
50,1.6667753150803997,204.7025075620844,Open,Open,Open,Open,Closed
51,1.7001108213820078,198.64401162416203,Open,Open,Open,Open,Closed
52,1.7334463276836158,182.57080861505904,Open,Open,Closed,Closed,Closed
53,1.7667818339852237,172.8192060366771,Open,Closed,Closed,Closed,Closed
54,1.8001173402868318,165.93520130895735,Open,Closed,Closed,Closed,Closed
55,1.8334528465884397,169.84817979591458,Open,Closed,Closed,Closed,Closed
56,1.8667883528900475,177.9799333044192,Open,Open,Closed,Closed,Closed
57,1.900123859191656,183.1350346867034,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,171.85709464788448,Open,Closed,Closed,Closed,Closed
59,1.966794871794872,191.63486907483815,Open,Open,Open,Closed,Closed
60,2.00013037809648,189.15932910937465,Open,Open,Open,Closed,Closed
61,2.0334658843980877,194.93331449141175,Open,Open,Open,Closed,Closed
62,2.0668013906996956,193.71444795250335,Open,Open,Open,Closed,Closed
63,2.100136897001304,186.374015403155,Open,Open,Open,Closed,Closed
64,2.133472403302912,176.69338908358262,Open,Open,Closed,Closed,Closed
65,2.1668079096045196,192.2903399695651,Open,Open,Open,Closed,Closed
66,2.2001434159061275,181.85553150479453,Open,Open,Closed,Closed,Closed
67,2.233478922207736,175.0496085025668,Open,Open,Closed,Closed,Closed
68,2.2668144285093437,166.57780231974502,Open,Closed,Closed,Closed,Closed
69,2.3001499348109515,173.9779561994945,Open,Open,Closed,Closed,Closed
70,2.33348544111256,169.71106628998078,Open,Closed,Closed,Closed,Closed
71,2.3668209474141677,167.07682570085677,Open,Closed,Closed,Closed,Closed
72,2.4001564537157756,160.9019277632225,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,166.31433738504404,Open,Closed,Closed,Closed,Closed
74,2.4668274663189917,212.57173996863472,Open,Open,Open,Open,Open
75,2.5001629726205996,180.33066488149953,Open,Open,Closed,Closed,Closed
76,2.5334984789222075,193.6681562260971,Open,Open,Open,Closed,Closed
77,2.566833985223816,182.0099263575028,Open,Open,Closed,Closed,Closed
78,2.6001694915254236,192.77530888097897,Open,Open,Open,Closed,Closed
79,2.6335049978270315,191.06930340936935,Open,Open,Open,Closed,Closed
80,2.66684050412864,185.8033754144571,Open,Open,Open,Closed,Closed
81,2.7001760104302477,193.4265347821763,Open,Open,Open,Closed,Closed
82,2.7335115167318556,190.3033460616332,Open,Open,Open,Closed,Closed
83,2.7668470230334634,188.25826517655997,Open,Open,Open,Closed,Closed
84,2.8001825293350717,188.06972703473272,Open,Open,Open,Closed,Closed
85,2.8335180356366796,185.83149244125417,Open,Open,Open,Closed,Closed
86,2.8668535419382875,177.33413654936908,Open,Open,Closed,Closed,Closed
87,2.900189048239896,187.1818329206528,Open,Open,Open,Closed,Closed
88,2.9335245545415036,175.54795924819658,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,165.52667318996834,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,157.93732643546264,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,159.91484871430586,Closed,Closed,Closed,Closed,Closed
92,3.0668665797479355,153.38207956738938,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,161.94342765130963,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,171.8581971656828,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,185.0299745893159,Open,Open,Closed,Closed,Closed
96,3.200208604954367,187.75076265833047,Open,Open,Open,Closed,Closed
97,3.2335441112559757,196.13210332356851,Open,Open,Open,Closed,Closed
98,3.2668796175575836,194.56687608478416,Open,Open,Open,Closed,Closed
99,3.3002151238591915,194.72783932015184,Open,Open,Open,Closed,Closed
100,3.3335506301607993,193.27244827294544,Open,Open,Open,Closed,Closed
101,3.3668861364624076,188.32595452544703,Open,Open,Open,Closed,Closed
102,3.4002216427640155,188.06509359677017,Open,Open,Open,Closed,Closed
103,3.4335571490656234,186.5157656285446,Open,Open,Open,Closed,Closed
104,3.4668926553672317,189.0422672627919,Open,Open,Open,Closed,Closed
105,3.5002281616688395,189.1595092241813,Open,Open,Open,Closed,Closed
106,3.5335636679704474,182.37266464446225,Open,Open,Closed,Closed,Closed
107,3.5668991742720553,178.08970227992234,Open,Open,Closed,Closed,Closed
108,3.6002346805736636,174.1902695567111,Open,Open,Closed,Closed,Closed
109,3.633570186875271,177.24080024360862,Open,Open,Closed,Closed,Closed
110,3.6669056931768793,161.23119889488993,Closed,Closed,Closed,Closed,Closed
111,3.700241199478488,184.8177482142039,Open,Open,Closed,Closed,Closed
112,3.733576705780095,197.81496858536292,Open,Open,Open,Open,Closed
113,3.7669122120817033,184.98862516413695,Open,Open,Closed,Closed,Closed
114,3.800247718383312,177.71286411717793,Open,Open,Closed,Closed,Closed
115,3.833583224684919,191.45246426382687,Open,Open,Open,Closed,Closed
116,3.8669187309865274,195.54162988825357,Open,Open,Open,Closed,Closed
117,3.9002542372881353,191.64686631156547,Open,Open,Open,Closed,Closed
118,3.933589743589744,195.16066306159135,Open,Open,Open,Closed,Closed
119,3.966925249891351,191.193718927277,Open,Open,Open,Closed,Closed
120,4.00026075619296,192.5700389019101,Open,Open,Open,Closed,Closed
121,4.033596262494568,187.99547516150983,Open,Open,Open,Closed,Closed
122,4.0669317687961755,185.9298461523914,Open,Open,Open,Closed,Closed
123,4.100267275097783,186.7772060534874,Open,Open,Open,Closed,Closed
124,4.133602781399391,188.2988242372704,Open,Open,Open,Closed,Closed
125,4.166938287700999,189.93645710161377,Open,Open,Open,Closed,Closed
126,4.200273794002608,191.13665424444451,Open,Open,Open,Closed,Closed
127,4.233609300304216,176.60357663767903,Open,Open,Closed,Closed,Closed
128,4.2669448066058235,180.23947357953944,Open,Open,Closed,Closed,Closed
129,4.300280312907431,176.36944538132485,Open,Open,Closed,Closed,Closed
130,4.333615819209039,173.53582898387697,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,180.91828037771657,Open,Open,Closed,Closed,Closed
132,4.400286831812255,194.79484667734687,Open,Open,Open,Closed,Closed
133,4.433622338113864,196.40172209902977,Open,Open,Open,Closed,Closed
134,4.466957844415472,194.78960939608865,Open,Open,Open,Closed,Closed
135,4.5002933507170795,198.737338809891,Open,Open,Open,Open,Closed
136,4.533628857018687,194.74816563853625,Open,Open,Open,Closed,Closed
137,4.566964363320295,194.4392905696983,Open,Open,Open,Closed,Closed
138,4.600299869621903,193.63951525369572,Open,Open,Open,Closed,Closed
139,4.633635375923511,191.25011293778113,Open,Open,Open,Closed,Closed
140,4.66697088222512,196.17682780792555,Open,Open,Open,Closed,Closed
141,4.700306388526728,188.5133407208152,Open,Open,Open,Closed,Closed
142,4.733641894828335,186.37758823780817,Open,Open,Open,Closed,Closed
143,4.766977401129943,181.84219799499024,Open,Open,Closed,Closed,Closed
144,4.800312907431551,182.62492211280227,Open,Open,Closed,Closed,Closed
145,4.833648413733159,188.15971209890745,Open,Open,Open,Closed,Closed
146,4.866983920034767,189.24053478020687,Open,Open,Open,Closed,Closed
147,4.900319426336376,177.9197092951636,Open,Open,Closed,Closed,Closed
148,4.9336549326379835,172.77785317286884,Open,Closed,Closed,Closed,Closed
