frame,timestamp,anchor_to_top_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,86.03706235826945,Open,Open,Closed,Closed,Closed
1,0.0333355063016079,86.84632253678751,Open,Open,Open,Closed,Closed
2,0.0666710126032159,89.30648501751587,Open,Open,Open,Closed,Closed
3,0.1000065189048239,89.09120615350939,Open,Open,Open,Closed,Closed
4,0.1333420252064319,89.40955055758852,Open,Open,Open,Closed,Closed
5,0.16667753150804,90.43214696619192,Open,Open,Open,Closed,Closed
6,0.2000130378096479,88.64102698722883,Open,Open,Open,Closed,Closed
7,0.2333485441112559,89.73272915582348,Open,Open,Open,Closed,Closed
8,0.2666840504128639,88.69542007600876,Open,Open,Open,Closed,Closed
9,0.3000195567144719,87.06341733798806,Open,Open,Open,Closed,Closed
10,0.33335506301608,86.97121693357238,Open,Open,Open,Closed,Closed
11,0.3666905693176879,88.10914374138808,Open,Open,Open,Closed,Closed
12,0.4000260756192959,88.74705143727678,Open,Open,Open,Closed,Closed
13,0.4333615819209039,88.11948445247415,Open,Open,Open,Closed,Closed
14,0.4666970882225119,87.54299087940095,Open,Open,Open,Closed,Closed
15,0.50003259452412,87.25647534528778,Open,Open,Open,Closed,Closed
16,0.5333681008257279,90.570142522365,Open,Open,Open,Closed,Closed
17,0.5667036071273359,89.84865395939494,Open,Open,Open,Closed,Closed
18,0.6000391134289439,88.04048693005296,Open,Open,Open,Closed,Closed
19,0.6333746197305519,87.64630902889871,Open,Open,Open,Closed,Closed
20,0.66671012603216,90.49478057016918,Open,Open,Open,Closed,Closed
21,0.7000456323337679,90.12842386633136,Open,Open,Open,Closed,Closed
22,0.7333811386353759,92.22391628925132,Open,Open,Open,Open,Closed
23,0.7667166449369839,89.08818999178095,Open,Open,Open,Closed,Closed
24,0.8000521512385919,88.76379435504566,Open,Open,Open,Closed,Closed
25,0.8333876575401998,86.8575872102112,Open,Open,Open,Closed,Closed
26,0.8667231638418079,88.29545187343332,Open,Open,Open,Closed,Closed
27,0.9000586701434159,84.95493419870368,Open,Open,Closed,Closed,Closed
28,0.933394176445024,86.13518682861923,Open,Open,Open,Closed,Closed
29,0.9667296827466318,87.08043888819401,Open,Open,Open,Closed,Closed
30,1.00006518904824,88.44010594758947,Open,Open,Open,Closed,Closed
31,1.0334006953498478,84.29314877607911,Open,Open,Closed,Closed,Closed
32,1.066736201651456,92.92279290939656,Open,Open,Open,Open,Closed
33,1.1000717079530635,90.15918400755729,Open,Open,Open,Closed,Closed
34,1.1334072142546718,92.49893676054003,Open,Open,Open,Open,Closed
35,1.16674272055628,92.04772455367018,Open,Open,Open,Closed,Closed
36,1.2000782268578878,98.86164470116704,Open,Open,Open,Open,Open
37,1.233413733159496,88.84679587784191,Open,Open,Open,Closed,Closed
38,1.2667492394611035,87.68130625042556,Open,Open,Open,Closed,Closed
39,1.3000847457627118,97.16021516418468,Open,Open,Open,Open,Closed
40,1.33342025206432,95.1724670608124,Open,Open,Open,Open,Closed
41,1.3667557583659278,88.79819466190952,Open,Open,Open,Closed,Closed
42,1.400091264667536,97.60198995402884,Open,Open,Open,Open,Closed
43,1.4334267709691435,90.39117562233506,Open,Open,Open,Closed,Closed
44,1.4667622772707518,88.85601632831427,Open,Open,Open,Closed,Closed
45,1.5000977835723597,83.34847156283504,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,86.05771581760595,Open,Open,Closed,Closed,Closed
47,1.566768796175576,88.49557411955573,Open,Open,Open,Closed,Closed
48,1.6001043024771835,84.53725573167665,Open,Open,Closed,Closed,Closed
49,1.6334398087787918,88.80971261308389,Open,Open,Open,Closed,Closed
50,1.6667753150803997,94.17414797427716,Open,Open,Open,Open,Closed
51,1.7001108213820078,92.1516767382458,Open,Open,Open,Open,Closed
52,1.7334463276836158,89.95890228032523,Open,Open,Open,Closed,Closed
53,1.7667818339852237,86.86602548671993,Open,Open,Open,Closed,Closed
54,1.8001173402868318,81.74879235325638,Open,Open,Closed,Closed,Closed
55,1.8334528465884397,85.94171444409915,Open,Open,Closed,Closed,Closed
56,1.8667883528900475,87.64273657278832,Open,Open,Open,Closed,Closed
57,1.900123859191656,81.90345405213708,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,85.54492114708478,Open,Open,Closed,Closed,Closed
59,1.966794871794872,83.2547916639025,Open,Open,Closed,Closed,Closed
60,2.00013037809648,81.37244610249739,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,79.09759618321792,Open,Closed,Closed,Closed,Closed
62,2.0668013906996956,80.17435213389169,Open,Open,Closed,Closed,Closed
63,2.100136897001304,80.73576375928602,Open,Open,Closed,Closed,Closed
64,2.133472403302912,80.35500725934284,Open,Open,Closed,Closed,Closed
65,2.1668079096045196,81.16042115980838,Open,Open,Closed,Closed,Closed
66,2.2001434159061275,78.28908166538805,Open,Closed,Closed,Closed,Closed
67,2.233478922207736,75.57126592356215,Open,Closed,Closed,Closed,Closed
68,2.2668144285093437,74.98269220137075,Open,Closed,Closed,Closed,Closed
69,2.3001499348109515,78.47785924634108,Open,Closed,Closed,Closed,Closed
70,2.33348544111256,77.47553119215557,Open,Closed,Closed,Closed,Closed
71,2.3668209474141677,74.86966484624932,Open,Closed,Closed,Closed,Closed
72,2.4001564537157756,72.10062446410527,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,69.92322613761478,Closed,Closed,Closed,Closed,Closed
74,2.4668274663189917,88.7483702021323,Open,Open,Open,Closed,Closed
75,2.5001629726205996,73.42150645315236,Closed,Closed,Closed,Closed,Closed
76,2.5334984789222075,79.17599628853836,Open,Closed,Closed,Closed,Closed
77,2.566833985223816,74.44050272134884,Open,Closed,Closed,Closed,Closed
78,2.6001694915254236,87.05705742630361,Open,Open,Open,Closed,Closed
79,2.6335049978270315,78.71743320511574,Open,Closed,Closed,Closed,Closed
80,2.66684050412864,79.57665863698566,Open,Closed,Closed,Closed,Closed
81,2.7001760104302477,88.18724799977696,Open,Open,Open,Closed,Closed
82,2.7335115167318556,88.85808732798918,Open,Open,Open,Closed,Closed
83,2.7668470230334634,85.122608135907,Open,Open,Closed,Closed,Closed
84,2.8001825293350717,83.68611603615943,Open,Open,Closed,Closed,Closed
85,2.8335180356366796,85.63977574694027,Open,Open,Closed,Closed,Closed
86,2.8668535419382875,84.50231800528431,Open,Open,Closed,Closed,Closed
87,2.900189048239896,82.58313448567111,Open,Open,Closed,Closed,Closed
88,2.9335245545415036,80.3560899477458,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,77.96532450962064,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,74.02375701055638,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,74.9462628646083,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,72.1733274926398,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,72.94061725336168,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,75.38469347902924,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,78.12343694451332,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,81.7690210160149,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,89.12764400666941,Open,Open,Open,Closed,Closed
98,3.2668796175575836,85.25994240555575,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,81.43846354758884,Open,Open,Closed,Closed,Closed
100,3.3335506301607993,83.79380565317948,Open,Open,Closed,Closed,Closed
101,3.3668861364624076,84.24036616298444,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,84.33838989083117,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,81.62457345117949,Open,Open,Closed,Closed,Closed
104,3.4668926553672317,82.10633290971415,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,78.67633711671279,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,78.29449496777093,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,73.69335223592415,Closed,Closed,Closed,Closed,Closed
108,3.6002346805736636,75.16247656493869,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,78.8923108419535,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,76.479393918563,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,78.33347002336689,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,78.61887231012497,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,79.3501164917497,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,80.83847407161859,Open,Open,Closed,Closed,Closed
115,3.833583224684919,87.56249216843283,Open,Open,Open,Closed,Closed
116,3.8669187309865274,83.46104236139323,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,83.858588267316,Open,Open,Closed,Closed,Closed
118,3.933589743589744,87.4095460811794,Open,Open,Open,Closed,Closed
119,3.966925249891351,85.20873776724018,Open,Open,Closed,Closed,Closed
120,4.00026075619296,89.83576540898576,Open,Open,Open,Closed,Closed
121,4.033596262494568,83.76269091577312,Open,Open,Closed,Closed,Closed
122,4.0669317687961755,79.05261317242125,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,85.18361562018404,Open,Open,Closed,Closed,Closed
124,4.133602781399391,80.87055030314798,Open,Open,Closed,Closed,Closed
