frame,timestamp,anchor_to_top_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,64.09469809671981,Open,Open,Closed,Closed,Closed
1,0.0333355063016079,65.08434269860417,Open,Open,Closed,Closed,Closed
2,0.0666710126032159,66.19529350858944,Open,Open,Open,Closed,Closed
3,0.1000065189048239,65.39053768676114,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,65.99800129553105,Open,Open,Closed,Closed,Closed
5,0.16667753150804,65.8731788476196,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,66.2534187143378,Open,Open,Open,Closed,Closed
7,0.2333485441112559,66.80570171703329,Open,Open,Open,Closed,Closed
8,0.2666840504128639,65.76473923440416,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,66.00947598612646,Open,Open,Closed,Closed,Closed
10,0.33335506301608,65.83969808434253,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,65.01226698675276,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,65.98845715656296,Open,Open,Closed,Closed,Closed
13,0.4333615819209039,64.14199231333,Open,Open,Closed,Closed,Closed
14,0.4666970882225119,64.33100582878205,Open,Open,Closed,Closed,Closed
15,0.50003259452412,63.6364711876989,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,66.61457986119677,Open,Open,Open,Closed,Closed
17,0.5667036071273359,65.22132921086417,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,65.11670549612658,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,66.66620053276048,Open,Open,Open,Closed,Closed
20,0.66671012603216,66.98741297878951,Open,Open,Open,Closed,Closed
21,0.7000456323337679,66.59110234594624,Open,Open,Open,Closed,Closed
22,0.7333811386353759,69.62163090102827,Open,Open,Open,Closed,Closed
23,0.7667166449369839,65.5833560209421,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,65.33899973858122,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,65.23304510679279,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,65.59081645293409,Open,Open,Closed,Closed,Closed
27,0.9000586701434159,62.26138650382656,Open,Open,Closed,Closed,Closed
28,0.933394176445024,63.91370475947173,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,65.8415106682613,Open,Open,Closed,Closed,Closed
30,1.00006518904824,67.53473437427971,Open,Open,Open,Closed,Closed
31,1.0334006953498478,63.88952640566109,Open,Open,Closed,Closed,Closed
32,1.066736201651456,74.26493560359971,Open,Open,Open,Open,Closed
33,1.1000717079530635,70.74781540887406,Open,Open,Open,Open,Closed
34,1.1334072142546718,73.33586322738178,Open,Open,Open,Open,Closed
35,1.16674272055628,72.32410713090135,Open,Open,Open,Open,Closed
36,1.2000782268578878,78.12783822883495,Open,Open,Open,Open,Open
37,1.233413733159496,68.66913452803246,Open,Open,Open,Closed,Closed
38,1.2667492394611035,66.63399513821307,Open,Open,Open,Closed,Closed
39,1.3000847457627118,74.57326964171466,Open,Open,Open,Open,Closed
