frame,timestamp,anchor_to_top_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,87.06969431255274,Open,Closed,Closed,Closed,Closed
1,0.0333355063016079,88.8396365652352,Open,Open,Closed,Closed,Closed
2,0.0666710126032159,94.15358835017564,Open,Open,Open,Closed,Closed
3,0.1000065189048239,94.72831622974006,Open,Open,Open,Closed,Closed
4,0.1333420252064319,94.7534350686861,Open,Open,Open,Closed,Closed
5,0.16667753150804,93.91243608217954,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,95.07078009389636,Open,Open,Open,Closed,Closed
7,0.2333485441112559,96.00064940430886,Open,Open,Open,Closed,Closed
8,0.2666840504128639,94.5786026508318,Open,Open,Open,Closed,Closed
9,0.3000195567144719,93.11921440548896,Open,Open,Closed,Closed,Closed
10,0.33335506301608,93.51812299950002,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,93.9072315052636,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,94.72831622974006,Open,Open,Open,Closed,Closed
13,0.4333615819209039,93.93858078188184,Open,Open,Closed,Closed,Closed
14,0.4666970882225119,93.40321789635786,Open,Open,Closed,Closed,Closed
15,0.50003259452412,92.49100267354754,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,96.50573030212084,Open,Open,Open,Closed,Closed
17,0.5667036071273359,95.6096857012741,Open,Open,Open,Closed,Closed
18,0.6000391134289439,93.03141180699436,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,93.10524116360756,Open,Open,Closed,Closed,Closed
20,0.66671012603216,96.4094975481635,Open,Open,Open,Closed,Closed
21,0.7000456323337679,95.45829046699798,Open,Open,Open,Closed,Closed
22,0.7333811386353759,98.52901923117513,Open,Open,Open,Closed,Closed
23,0.7667166449369839,93.89836452426118,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,93.10910043405792,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,92.26827365902136,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,94.79642436109464,Open,Open,Open,Closed,Closed
27,0.9000586701434159,91.36352795929498,Open,Open,Closed,Closed,Closed
28,0.933394176445024,92.73202938857592,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,93.76504320641874,Open,Open,Closed,Closed,Closed
30,1.00006518904824,96.27960127465744,Open,Open,Open,Closed,Closed
31,1.0334006953498478,96.4690742451958,Open,Open,Open,Closed,Closed
32,1.066736201651456,102.80748518225415,Open,Open,Open,Open,Closed
33,1.1000717079530635,103.33544240325573,Open,Open,Open,Open,Closed
34,1.1334072142546718,109.30223380806466,Open,Open,Open,Open,Open
35,1.16674272055628,101.31613858344238,Open,Open,Open,Open,Closed
36,1.2000782268578878,114.05007443210656,Open,Open,Open,Open,Open
37,1.233413733159496,95.9390906522342,Open,Open,Open,Closed,Closed
38,1.2667492394611035,98.02119172882736,Open,Open,Open,Closed,Closed
39,1.3000847457627118,107.99908515606576,Open,Open,Open,Open,Open
40,1.33342025206432,103.95548024942148,Open,Open,Open,Open,Closed
41,1.3667557583659278,97.92101940504904,Open,Open,Open,Closed,Closed
42,1.400091264667536,105.59374051536126,Open,Open,Open,Open,Closed
43,1.4334267709691435,98.24508350253274,Open,Open,Open,Closed,Closed
44,1.4667622772707518,96.06837332356008,Open,Open,Open,Closed,Closed
45,1.5000977835723597,90.40745079504592,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,88.11682125368405,Open,Open,Closed,Closed,Closed
47,1.566768796175576,96.84297281129096,Open,Open,Open,Closed,Closed
48,1.6001043024771835,89.38291758339648,Open,Open,Closed,Closed,Closed
49,1.6334398087787918,96.52556523925828,Open,Open,Open,Closed,Closed
50,1.6667753150803997,95.60282787959184,Open,Open,Open,Closed,Closed
51,1.7001108213820078,101.44582155353328,Open,Open,Open,Open,Closed
52,1.7334463276836158,100.61436390138704,Open,Open,Open,Closed,Closed
53,1.7667818339852237,93.78133382183988,Open,Open,Closed,Closed,Closed
54,1.8001173402868318,85.27366905968142,Open,Closed,Closed,Closed,Closed
55,1.8334528465884397,88.40175512125748,Open,Open,Closed,Closed,Closed
56,1.8667883528900475,91.82220808332823,Open,Open,Closed,Closed,Closed
57,1.900123859191656,84.26917569555079,Open,Closed,Closed,Closed,Closed
58,1.9334593654932637,87.9831085087335,Open,Open,Closed,Closed,Closed
59,1.966794871794872,86.5041909014993,Open,Closed,Closed,Closed,Closed
60,2.00013037809648,86.76675010145806,Open,Closed,Closed,Closed,Closed
61,2.0334658843980877,81.93402264648802,Open,Closed,Closed,Closed,Closed
62,2.0668013906996956,86.01506272547243,Open,Closed,Closed,Closed,Closed
63,2.100136897001304,85.81489651919492,Open,Closed,Closed,Closed,Closed
64,2.133472403302912,86.76980041202299,Open,Closed,Closed,Closed,Closed
65,2.1668079096045196,88.18777618587345,Open,Open,Closed,Closed,Closed
66,2.2001434159061275,87.52511822760036,Open,Open,Closed,Closed,Closed
67,2.233478922207736,81.8215507392413,Open,Closed,Closed,Closed,Closed
68,2.2668144285093437,82.83684027062763,Open,Closed,Closed,Closed,Closed
69,2.3001499348109515,84.37053273489289,Open,Closed,Closed,Closed,Closed
70,2.33348544111256,84.72687505460975,Open,Closed,Closed,Closed,Closed
71,2.3668209474141677,81.1698468715766,Open,Closed,Closed,Closed,Closed
72,2.4001564537157756,77.15274292321632,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,75.41257057267083,Closed,Closed,Closed,Closed,Closed
74,2.4668274663189917,91.6246856551086,Open,Open,Closed,Closed,Closed
75,2.5001629726205996,77.73462946485478,Closed,Closed,Closed,Closed,Closed
76,2.5334984789222075,82.91992548795376,Open,Closed,Closed,Closed,Closed
77,2.566833985223816,77.05663676424018,Closed,Closed,Closed,Closed,Closed
78,2.6001694915254236,92.02417232910538,Open,Open,Closed,Closed,Closed
79,2.6335049978270315,83.60780078013514,Open,Closed,Closed,Closed,Closed
80,2.66684050412864,84.42794389939792,Open,Closed,Closed,Closed,Closed
81,2.7001760104302477,91.3010562467892,Open,Open,Closed,Closed,Closed
82,2.7335115167318556,93.86684483599257,Open,Open,Closed,Closed,Closed
83,2.7668470230334634,90.78131995655168,Open,Open,Closed,Closed,Closed
84,2.8001825293350717,89.16514426732158,Open,Open,Closed,Closed,Closed
85,2.8335180356366796,90.5784191709136,Open,Open,Closed,Closed,Closed
86,2.8668535419382875,90.78276288196884,Open,Open,Closed,Closed,Closed
87,2.900189048239896,89.92203300715295,Open,Open,Closed,Closed,Closed
88,2.9335245545415036,88.72987409705397,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,86.90858680831818,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,81.55623047777797,Open,Closed,Closed,Closed,Closed
91,3.0335310734463277,81.51539246505111,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,78.45171114513576,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,80.02811511925087,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,84.74599046438368,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,82.96801774971605,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,89.48574016083938,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,93.44921956727832,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,88.96710506897358,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,85.84015371452148,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,86.54764114298723,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,88.59794150237599,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,87.49268887931868,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,85.70605696985301,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,87.00569094244324,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,84.60114771368337,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,85.63940168902836,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,80.7897684183696,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,81.75259380094708,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,84.13877387532511,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,82.44104318356455,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,83.53569866906697,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,82.42660590970804,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,83.51530896126421,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,83.52992986668599,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,89.60629805218734,Open,Open,Closed,Closed,Closed
116,3.8669187309865274,85.68720283888322,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,86.88163996226612,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,90.9680364085593,Open,Open,Closed,Closed,Closed
119,3.966925249891351,88.28771472072933,Open,Open,Closed,Closed,Closed
120,4.00026075619296,93.1134338138711,Open,Open,Closed,Closed,Closed
121,4.033596262494568,87.14261502485658,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,82.14647087084357,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,90.30717979191942,Open,Open,Closed,Closed,Closed
124,4.133602781399391,86.45118744645723,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,86.3217484406168,Open,Closed,Closed,Closed,Closed
