frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,66.48555354247947,Open,Closed,Closed,Closed,Closed
1,0.0333355063016079,68.78850429981998,Open,Closed,Closed,Closed,Closed
2,0.0666710126032159,74.77874338963875,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,75.27738741963248,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,75.31070236309003,Open,Open,Closed,Closed,Closed
5,0.16667753150804,73.56884371844528,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,76.59174463773832,Open,Open,Closed,Closed,Closed
7,0.2333485441112559,77.93301352806222,Open,Open,Closed,Closed,Closed
8,0.2666840504128639,75.3895265722353,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,75.53644546767852,Open,Open,Closed,Closed,Closed
10,0.33335506301608,75.76170292900699,Open,Open,Closed,Closed,Closed
11,0.3666905693176879,75.18802248385632,Open,Open,Closed,Closed,Closed
12,0.4000260756192959,76.60201948027863,Open,Open,Closed,Closed,Closed
13,0.4333615819209039,74.5034608498888,Open,Open,Closed,Closed,Closed
14,0.4666970882225119,75.210896748523,Open,Open,Closed,Closed,Closed
15,0.50003259452412,73.91015291668744,Open,Open,Closed,Closed,Closed
16,0.5333681008257279,77.26101832696372,Open,Open,Closed,Closed,Closed
17,0.5667036071273359,76.50009071456336,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,74.64926058681394,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,75.36080936309824,Open,Open,Closed,Closed,Closed
20,0.66671012603216,77.71783897002892,Open,Open,Closed,Closed,Closed
21,0.7000456323337679,76.3423931132268,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,80.4037054268209,Open,Open,Closed,Closed,Closed
23,0.7667166449369839,74.83689520659065,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,74.35901951386339,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,74.07003200941163,Open,Open,Closed,Closed,Closed
26,0.8667231638418079,76.32505032114372,Open,Open,Closed,Closed,Closed
27,0.9000586701434159,73.86026817754633,Open,Open,Closed,Closed,Closed
28,0.933394176445024,75.2620948866286,Open,Open,Closed,Closed,Closed
29,0.9667296827466318,77.76345460723974,Open,Open,Closed,Closed,Closed
30,1.00006518904824,81.38687453614679,Open,Open,Open,Closed,Closed
31,1.0334006953498478,83.20904146137373,Open,Open,Open,Closed,Closed
32,1.066736201651456,88.84150045193198,Open,Open,Open,Open,Closed
33,1.1000717079530635,91.18076271275802,Open,Open,Open,Open,Closed
34,1.1334072142546718,98.0058813746596,Open,Open,Open,Open,Open
35,1.16674272055628,86.47935565205788,Open,Open,Open,Closed,Closed
36,1.2000782268578878,102.40366256674469,Open,Open,Open,Open,Open
37,1.233413733159496,80.11018332946699,Open,Open,Closed,Closed,Closed
38,1.2667492394611035,82.67334928409193,Open,Open,Open,Closed,Closed
39,1.3000847457627118,90.91761245701272,Open,Open,Open,Open,Closed
40,1.33342025206432,86.53658627846661,Open,Open,Open,Closed,Closed
41,1.3667557583659278,82.76435152344156,Open,Open,Open,Closed,Closed
