frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,10.754541191980252,Closed,Closed,Closed,Closed,Closed
1,0.0333355063016079,21.501341639713843,Open,Closed,Closed,Closed,Closed
2,0.0666710126032159,34.77952536501016,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,10.937743882772908,Closed,Closed,Closed,Closed,Closed
4,0.1333420252064319,19.71181258929669,Open,Closed,Closed,Closed,Closed
5,0.16667753150804,17.21344684523056,Open,Closed,Closed,Closed,Closed
6,0.2000130378096479,12.431538408745787,Closed,Closed,Closed,Closed,Closed
7,0.2333485441112559,12.635057184309115,Closed,Closed,Closed,Closed,Closed
8,0.2666840504128639,19.490105118517555,Open,Closed,Closed,Closed,Closed
9,0.3000195567144719,8.972560911750252,Closed,Closed,Closed,Closed,Closed
10,0.33335506301608,9.453367328426092,Closed,Closed,Closed,Closed,Closed
11,0.3666905693176879,17.434735443934905,Open,Closed,Closed,Closed,Closed
12,0.4000260756192959,11.663800743651729,Closed,Closed,Closed,Closed,Closed
13,0.4333615819209039,18.91062570899975,Open,Closed,Closed,Closed,Closed
14,0.4666970882225119,19.16710851381835,Open,Closed,Closed,Closed,Closed
15,0.50003259452412,21.014350838807047,Open,Closed,Closed,Closed,Closed
16,0.5333681008257279,9.907753541894024,Closed,Closed,Closed,Closed,Closed
17,0.5667036071273359,12.627019615312326,Closed,Closed,Closed,Closed,Closed
18,0.6000391134289439,9.602083107326244,Closed,Closed,Closed,Closed,Closed
19,0.6333746197305519,9.57169180190301,Closed,Closed,Closed,Closed,Closed
20,0.66671012603216,11.117518688533124,Closed,Closed,Closed,Closed,Closed
21,0.7000456323337679,9.317748761849629,Closed,Closed,Closed,Closed,Closed
22,0.7333811386353759,12.102708604091712,Closed,Closed,Closed,Closed,Closed
23,0.7667166449369839,10.983007745784796,Closed,Closed,Closed,Closed,Closed
24,0.8000521512385919,10.920654760091312,Closed,Closed,Closed,Closed,Closed
25,0.8333876575401998,10.692919217911363,Closed,Closed,Closed,Closed,Closed
26,0.8667231638418079,12.417443110440056,Closed,Closed,Closed,Closed,Closed
27,0.9000586701434159,9.831862348577674,Closed,Closed,Closed,Closed,Closed
28,0.933394176445024,7.363374339493822,Closed,Closed,Closed,Closed,Closed
29,0.9667296827466318,4.678812625735148,Closed,Closed,Closed,Closed,Closed
30,1.00006518904824,3.3486116526106757,Closed,Closed,Closed,Closed,Closed
31,1.0334006953498478,3.643654239388833,Closed,Closed,Closed,Closed,Closed
32,1.066736201651456,1.9807858914772576,Closed,Closed,Closed,Closed,Closed
33,1.1000717079530635,2.0340343503848053,Closed,Closed,Closed,Closed,Closed
34,1.1334072142546718,1.7415981650585617,Closed,Closed,Closed,Closed,Closed
35,1.16674272055628,2.1165917363031057,Closed,Closed,Closed,Closed,Closed
36,1.2000782268578878,2.2398009154331047,Closed,Closed,Closed,Closed,Closed
37,1.233413733159496,4.086414039785989,Closed,Closed,Closed,Closed,Closed
38,1.2667492394611035,2.46875,Closed,Closed,Closed,Closed,Closed
39,1.3000847457627118,2.708583722399956,Closed,Closed,Closed,Closed,Closed
40,1.33342025206432,3.18412743412316,Closed,Closed,Closed,Closed,Closed
41,1.3667557583659278,2.5886116497230565,Closed,Closed,Closed,Closed,Closed
42,1.400091264667536,2.134245922125329,Closed,Closed,Closed,Closed,Closed
43,1.4334267709691435,2.5565992253421004,Closed,Closed,Closed,Closed,Closed
44,1.4667622772707518,2.79209724176415,Closed,Closed,Closed,Closed,Closed
45,1.5000977835723597,2.7704591970351324,Closed,Closed,Closed,Closed,Closed
46,1.5334332898739678,3.634052124231153,Closed,Closed,Closed,Closed,Closed
47,1.566768796175576,3.0899646937259275,Closed,Closed,Closed,Closed,Closed
48,1.6001043024771835,3.606403148193056,Closed,Closed,Closed,Closed,Closed
49,1.6334398087787918,2.4568492237229593,Closed,Closed,Closed,Closed,Closed
50,1.6667753150803997,3.108337933025036,Closed,Closed,Closed,Closed,Closed
51,1.7001108213820078,2.5841806133234564,Closed,Closed,Closed,Closed,Closed
52,1.7334463276836158,3.2834722504071596,Closed,Closed,Closed,Closed,Closed
53,1.7667818339852237,4.1448974129151885,Closed,Closed,Closed,Closed,Closed
54,1.8001173402868318,6.153392038269814,Closed,Closed,Closed,Closed,Closed
55,1.8334528465884397,11.28356226076572,Closed,Closed,Closed,Closed,Closed
56,1.8667883528900475,7.893139609341898,Closed,Closed,Closed,Closed,Closed
57,1.900123859191656,10.179899321434988,Closed,Closed,Closed,Closed,Closed
58,1.9334593654932637,11.843903443564871,Closed,Closed,Closed,Closed,Closed
59,1.966794871794872,11.638728452885218,Closed,Closed,Closed,Closed,Closed
60,2.00013037809648,6.328199185270472,Closed,Closed,Closed,Closed,Closed
61,2.0334658843980877,8.612334624961326,Closed,Closed,Closed,Closed,Closed
62,2.0668013906996956,7.769491617860206,Closed,Closed,Closed,Closed,Closed
63,2.100136897001304,9.23803979804941,Closed,Closed,Closed,Closed,Closed
64,2.133472403302912,18.288779403087418,Open,Closed,Closed,Closed,Closed
65,2.1668079096045196,15.660380734595034,Closed,Closed,Closed,Closed,Closed
66,2.2001434159061275,6.345552594995102,Closed,Closed,Closed,Closed,Closed
67,2.233478922207736,6.1938801201989895,Closed,Closed,Closed,Closed,Closed
68,2.2668144285093437,11.163391141366851,Closed,Closed,Closed,Closed,Closed
69,2.3001499348109515,5.327730602779778,Closed,Closed,Closed,Closed,Closed
70,2.33348544111256,4.962687380165524,Closed,Closed,Closed,Closed,Closed
71,2.3668209474141677,4.197535923898994,Closed,Closed,Closed,Closed,Closed
72,2.4001564537157756,5.934286802127631,Closed,Closed,Closed,Closed,Closed
73,2.433491960017383,6.618919560913713,Closed,Closed,Closed,Closed,Closed
74,2.4668274663189917,3.513737771766207,Closed,Closed,Closed,Closed,Closed
75,2.5001629726205996,7.947907320120863,Closed,Closed,Closed,Closed,Closed
76,2.5334984789222075,6.169441075142078,Closed,Closed,Closed,Closed,Closed
77,2.566833985223816,10.423531071570704,Closed,Closed,Closed,Closed,Closed
78,2.6001694915254236,10.083389335160527,Closed,Closed,Closed,Closed,Closed
79,2.6335049978270315,6.682136140204451,Closed,Closed,Closed,Closed,Closed
80,2.66684050412864,9.819662990652988,Closed,Closed,Closed,Closed,Closed
81,2.7001760104302477,10.874458430370046,Closed,Closed,Closed,Closed,Closed
82,2.7335115167318556,9.692503050534231,Closed,Closed,Closed,Closed,Closed
83,2.7668470230334634,9.718349074036814,Closed,Closed,Closed,Closed,Closed
