frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,0.8475081562898029,Open,Open,Open,Open,Open
1,0.0333355063016079,0.8010818012730895,Open,Open,Open,Open,Open
2,0.0666710126032159,0.7443695564234589,Open,Open,Open,Open,Closed
3,0.1000065189048239,0.7019948040257363,Open,Open,Open,Closed,Closed
4,0.1333420252064319,0.7218235713489166,Open,Open,Open,Open,Closed
5,0.16667753150804,0.7814510754885547,Open,Open,Open,Open,Open
6,0.2000130378096479,0.7043607795314784,Open,Open,Open,Closed,Closed
7,0.2333485441112559,0.7011612659797564,Open,Open,Open,Closed,Closed
8,0.2666840504128639,0.7091802857920004,Open,Open,Open,Closed,Closed
9,0.3000195567144719,0.6809333229504888,Open,Open,Open,Closed,Closed
10,0.33335506301608,0.6765733542576887,Open,Open,Open,Closed,Closed
11,0.3666905693176879,0.7034865547328715,Open,Open,Open,Closed,Closed
12,0.4000260756192959,0.7013675462541356,Open,Open,Open,Closed,Closed
13,0.4333615819209039,0.6924039494118513,Open,Open,Open,Closed,Closed
14,0.4666970882225119,0.6950692596967037,Open,Open,Open,Closed,Closed
15,0.50003259452412,0.6935676135603753,Open,Open,Open,Closed,Closed
16,0.5333681008257279,0.7214597238233077,Open,Open,Open,Open,Closed
17,0.5667036071273359,0.70957703186933,Open,Open,Open,Closed,Closed
18,0.6000391134289439,0.7163697268171155,Open,Open,Open,Open,Closed
19,0.6333746197305519,0.6941557622752202,Open,Open,Open,Closed,Closed
20,0.66671012603216,0.7170636865764773,Open,Open,Open,Open,Closed
21,0.7000456323337679,0.7126455892301243,Open,Open,Open,Open,Closed
22,0.7333811386353759,0.7388023690430086,Open,Open,Open,Open,Closed
23,0.7667166449369839,0.7409920286893553,Open,Open,Open,Open,Closed
24,0.8000521512385919,0.734071010316591,Open,Open,Open,Open,Closed
25,0.8333876575401998,0.7261661491170176,Open,Open,Open,Open,Closed
26,0.8667231638418079,0.6944288589781478,Open,Open,Open,Closed,Closed
27,0.9000586701434159,0.6522665461128355,Open,Open,Open,Closed,Closed
28,0.933394176445024,0.6453763515377795,Open,Open,Open,Closed,Closed
29,0.9667296827466318,0.62969119285912,Open,Open,Closed,Closed,Closed
30,1.00006518904824,0.6076015893706511,Open,Open,Closed,Closed,Closed
31,1.0334006953498478,0.5553044238362984,Open,Closed,Closed,Closed,Closed
32,1.066736201651456,0.5669881635108353,Open,Closed,Closed,Closed,Closed
33,1.1000717079530635,0.5403312666352549,Open,Closed,Closed,Closed,Closed
34,1.1334072142546718,0.5243741848132769,Open,Closed,Closed,Closed,Closed
35,1.16674272055628,0.6021798630178874,Open,Open,Closed,Closed,Closed
36,1.2000782268578878,0.5791245558937372,Open,Open,Closed,Closed,Closed
37,1.233413733159496,0.6240151917656723,Open,Open,Closed,Closed,Closed
38,1.2667492394611035,0.5378282842002939,Open,Closed,Closed,Closed,Closed
