frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,0.3854303034422019,Open,Open,Closed,Closed,Closed
1,0.0333355063016079,0.3245004169286126,Open,Closed,Closed,Closed,Closed
2,0.0666710126032159,0.3840780737903659,Open,Open,Closed,Closed,Closed
3,0.1000065189048239,0.4352871945735959,Open,Open,Closed,Closed,Closed
4,0.1333420252064319,0.4339127446801012,Open,Open,Closed,Closed,Closed
5,0.16667753150804,0.3690165654263099,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,0.4173362763121698,Open,Open,Closed,Closed,Closed
7,0.2333485441112559,0.4553980780570971,Open,Open,Open,Closed,Closed
8,0.2666840504128639,0.4199779052465899,Open,Open,Closed,Closed,Closed
9,0.3000195567144719,0.4568164200576267,Open,Open,Open,Closed,Closed
10,0.33335506301608,0.4445217091612165,Open,Open,Open,Closed,Closed
11,0.3666905693176879,0.4623913720357062,Open,Open,Open,Closed,Closed
12,0.4000260756192959,0.4546691901070154,Open,Open,Open,Closed,Closed
13,0.4333615819209039,0.4869357395419652,Open,Open,Open,Closed,Closed
14,0.4666970882225119,0.4444932929155822,Open,Open,Open,Closed,Closed
15,0.50003259452412,0.4834946185485364,Open,Open,Open,Closed,Closed
16,0.5333681008257279,0.4100229110443687,Open,Open,Closed,Closed,Closed
17,0.5667036071273359,0.4405699452704453,Open,Open,Closed,Closed,Closed
18,0.6000391134289439,0.3834134585994725,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,0.4669177899583689,Open,Open,Open,Closed,Closed
20,0.66671012603216,0.4195891720854316,Open,Open,Closed,Closed,Closed
21,0.7000456323337679,0.4323763271862234,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,0.4117089462042049,Open,Open,Closed,Closed,Closed
23,0.7667166449369839,0.3773544719396469,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,0.4086337412937617,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,0.3553916810318984,Open,Closed,Closed,Closed,Closed
26,0.8667231638418079,0.4685195871987712,Open,Open,Open,Closed,Closed
27,0.9000586701434159,0.4749787373137547,Open,Open,Open,Closed,Closed
28,0.933394176445024,0.4577408247821673,Open,Open,Open,Closed,Closed
29,0.9667296827466318,0.5158224355615585,Open,Open,Open,Closed,Closed
30,1.00006518904824,0.5245936845821554,Open,Open,Open,Closed,Closed
31,1.0334006953498478,0.4799678912983762,Open,Open,Open,Closed,Closed
32,1.066736201651456,0.5129747795119577,Open,Open,Open,Closed,Closed
33,1.1000717079530635,0.509475773682821,Open,Open,Open,Closed,Closed
34,1.1334072142546718,0.5090071573257948,Open,Open,Open,Closed,Closed
35,1.16674272055628,0.5592253182706646,Open,Open,Open,Open,Closed
36,1.2000782268578878,0.4509665026549688,Open,Open,Open,Closed,Closed
37,1.233413733159496,0.3362732521080292,Open,Closed,Closed,Closed,Closed
38,1.2667492394611035,0.4969632552455163,Open,Open,Open,Closed,Closed
39,1.3000847457627118,0.3707461546977973,Open,Open,Closed,Closed,Closed
40,1.33342025206432,0.3177918931106005,Open,Closed,Closed,Closed,Closed
41,1.3667557583659278,0.3681348598112566,Open,Open,Closed,Closed,Closed
42,1.400091264667536,0.3550113489048479,Open,Closed,Closed,Closed,Closed
43,1.4334267709691435,0.4138893912808675,Open,Open,Closed,Closed,Closed
44,1.4667622772707518,0.3873243933817213,Open,Open,Closed,Closed,Closed
45,1.5000977835723597,0.3847798482288291,Open,Open,Closed,Closed,Closed
46,1.5334332898739678,0.4390661651587075,Open,Open,Closed,Closed,Closed
47,1.566768796175576,0.4584611638493138,Open,Open,Open,Closed,Closed
48,1.6001043024771835,0.3542961659344852,Open,Closed,Closed,Closed,Closed
49,1.6334398087787918,0.3989036068917412,Open,Open,Closed,Closed,Closed
50,1.6667753150803997,0.3127244138374245,Open,Closed,Closed,Closed,Closed
51,1.7001108213820078,0.4167419709292408,Open,Open,Closed,Closed,Closed
52,1.7334463276836158,0.4876507238019492,Open,Open,Open,Closed,Closed
53,1.7667818339852237,0.5173713158688732,Open,Open,Open,Closed,Closed
54,1.8001173402868318,0.5206769034354265,Open,Open,Open,Closed,Closed
55,1.8334528465884397,0.5788134331443182,Open,Open,Open,Open,Closed
56,1.8667883528900475,0.5870239378440465,Open,Open,Open,Open,Closed
57,1.900123859191656,0.3690691822235606,Open,Open,Closed,Closed,Closed
58,1.9334593654932637,0.5339310159662617,Open,Open,Open,Open,Closed
59,1.966794871794872,0.4445105453273401,Open,Open,Open,Closed,Closed
60,2.00013037809648,0.3900611122124796,Open,Open,Closed,Closed,Closed
61,2.0334658843980877,0.4032219339978269,Open,Open,Closed,Closed,Closed
62,2.0668013906996956,0.4381943604679076,Open,Open,Closed,Closed,Closed
63,2.100136897001304,0.390374333268783,Open,Open,Closed,Closed,Closed
64,2.133472403302912,0.4130295520790312,Open,Open,Closed,Closed,Closed
65,2.1668079096045196,0.3374167957310042,Open,Closed,Closed,Closed,Closed
66,2.2001434159061275,0.4084403478565683,Open,Open,Closed,Closed,Closed
67,2.233478922207736,0.3872343553794328,Open,Open,Closed,Closed,Closed
68,2.2668144285093437,0.4585163066845392,Open,Open,Open,Closed,Closed
69,2.3001499348109515,0.4541270347813981,Open,Open,Open,Closed,Closed
70,2.33348544111256,0.5482515833048521,Open,Open,Open,Open,Closed
71,2.3668209474141677,0.4813869043685562,Open,Open,Open,Closed,Closed
72,2.4001564537157756,0.5204792764487368,Open,Open,Open,Closed,Closed
73,2.433491960017383,0.412926638211801,Open,Open,Closed,Closed,Closed
74,2.4668274663189917,0.3028531601230592,Open,Closed,Closed,Closed,Closed
75,2.5001629726205996,0.3549885916838543,Open,Closed,Closed,Closed,Closed
76,2.5334984789222075,0.3563525001141873,Open,Closed,Closed,Closed,Closed
77,2.566833985223816,0.4254947139906522,Open,Open,Closed,Closed,Closed
78,2.6001694915254236,0.3676923790774425,Open,Open,Closed,Closed,Closed
79,2.6335049978270315,0.4297117186980793,Open,Open,Closed,Closed,Closed
80,2.66684050412864,0.3036703809360256,Open,Closed,Closed,Closed,Closed
81,2.7001760104302477,0.332405143512203,Open,Closed,Closed,Closed,Closed
82,2.7335115167318556,0.3510539607530356,Open,Closed,Closed,Closed,Closed
83,2.7668470230334634,0.3731539204500448,Open,Open,Closed,Closed,Closed
84,2.8001825293350717,0.3402860870310376,Open,Closed,Closed,Closed,Closed
85,2.8335180356366796,0.3479751072865323,Open,Closed,Closed,Closed,Closed
86,2.8668535419382875,0.3445307276602774,Open,Closed,Closed,Closed,Closed
87,2.900189048239896,0.2993661121074819,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,0.2923116776080317,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,0.4865042554105199,Open,Open,Open,Closed,Closed
90,3.0001955671447194,0.4817242860765821,Open,Open,Open,Closed,Closed
91,3.0335310734463277,0.4540866550180557,Open,Open,Open,Closed,Closed
92,3.0668665797479355,0.6569134415655866,Open,Open,Open,Open,Open
93,3.1002020860495434,0.6029962994742727,Open,Open,Open,Open,Closed
94,3.1335375923511517,0.5176652979858268,Open,Open,Open,Closed,Closed
95,3.1668730986527596,0.4532455625431144,Open,Open,Open,Closed,Closed
96,3.200208604954367,0.4105854389246138,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,0.3973382620813543,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,0.4454205674564439,Open,Open,Open,Closed,Closed
99,3.3002151238591915,0.2862656684877033,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,0.3990414472111146,Open,Open,Closed,Closed,Closed
101,3.3668861364624076,0.4545686450484948,Open,Open,Open,Closed,Closed
102,3.4002216427640155,0.3896637497097181,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,0.3195472700412948,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,0.3686669547852607,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,0.3283641912638528,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,0.4034963912375292,Open,Open,Closed,Closed,Closed
107,3.5668991742720553,0.4962320487899248,Open,Open,Open,Closed,Closed
108,3.6002346805736636,0.5590585760415219,Open,Open,Open,Open,Closed
109,3.633570186875271,0.5643285061938237,Open,Open,Open,Open,Closed
110,3.6669056931768793,0.5923919605870215,Open,Open,Open,Open,Closed
111,3.700241199478488,0.549096769489344,Open,Open,Open,Open,Closed
112,3.733576705780095,0.3984192659718014,Open,Open,Closed,Closed,Closed
113,3.7669122120817033,0.3612485473067915,Open,Open,Closed,Closed,Closed
114,3.800247718383312,0.3816355940042102,Open,Open,Closed,Closed,Closed
115,3.833583224684919,0.3668471581142221,Open,Open,Closed,Closed,Closed
116,3.8669187309865274,0.3864163674278312,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,0.3178672741261611,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,0.2971416116204213,Open,Closed,Closed,Closed,Closed
119,3.966925249891351,0.3354464171904169,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,0.3006334811824913,Open,Closed,Closed,Closed,Closed
121,4.033596262494568,0.3439761559355052,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,0.3659058954959063,Open,Open,Closed,Closed,Closed
123,4.100267275097783,0.4199440797765269,Open,Open,Closed,Closed,Closed
124,4.133602781399391,0.4033567022047398,Open,Open,Closed,Closed,Closed
125,4.166938287700999,0.377503821438902,Open,Open,Closed,Closed,Closed
126,4.200273794002608,0.4230371654362536,Open,Open,Closed,Closed,Closed
127,4.233609300304216,0.497253997934193,Open,Open,Open,Closed,Closed
128,4.2669448066058235,0.5781299000271878,Open,Open,Open,Open,Closed
129,4.300280312907431,0.6049976028444358,Open,Open,Open,Open,Closed
130,4.333615819209039,0.6130898811971015,Open,Open,Open,Open,Open
131,4.366951325510647,0.5683711573324439,Open,Open,Open,Open,Closed
132,4.400286831812255,0.5035706055155281,Open,Open,Open,Closed,Closed
133,4.433622338113864,0.4355583953536324,Open,Open,Closed,Closed,Closed
134,4.466957844415472,0.4816008329085749,Open,Open,Open,Closed,Closed
135,4.5002933507170795,0.4649050035076684,Open,Open,Open,Closed,Closed
136,4.533628857018687,0.4700982067095091,Open,Open,Open,Closed,Closed
137,4.566964363320295,0.4820068626973863,Open,Open,Open,Closed,Closed
138,4.600299869621903,0.4729393548848855,Open,Open,Open,Closed,Closed
139,4.633635375923511,0.3499844370467619,Open,Closed,Closed,Closed,Closed
140,4.66697088222512,0.3925728223937088,Open,Open,Closed,Closed,Closed
141,4.700306388526728,0.3843129934893818,Open,Open,Closed,Closed,Closed
142,4.733641894828335,0.3699224464979874,Open,Open,Closed,Closed,Closed
143,4.766977401129943,0.3575458468077671,Open,Closed,Closed,Closed,Closed
144,4.800312907431551,0.319360665636984,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,0.3184810715922416,Open,Closed,Closed,Closed,Closed
146,4.866983920034767,0.4219902067138586,Open,Open,Closed,Closed,Closed
147,4.900319426336376,0.4867458887038142,Open,Open,Open,Closed,Closed
148,4.9336549326379835,0.5853257581804675,Open,Open,Open,Open,Closed
149,4.966990438939591,0.6243961742189754,Open,Open,Open,Open,Open
150,5.000325945241199,0.5012060068255028,Open,Open,Open,Closed,Closed
151,5.033661451542807,0.4200355517516684,Open,Open,Closed,Closed,Closed
152,5.066996957844415,0.4852876058739133,Open,Open,Open,Closed,Closed
153,5.100332464146024,0.3474361677158705,Open,Closed,Closed,Closed,Closed
154,5.133667970447632,0.4799179139007102,Open,Open,Open,Closed,Closed
155,5.167003476749239,0.3819176080725646,Open,Open,Closed,Closed,Closed
156,5.200338983050847,0.3502441821847503,Open,Closed,Closed,Closed,Closed
157,5.233674489352455,0.4054537161409492,Open,Open,Closed,Closed,Closed
158,5.267009995654063,0.3870939804858458,Open,Open,Closed,Closed,Closed
159,5.300345501955671,0.3133517879160269,Open,Closed,Closed,Closed,Closed
160,5.33368100825728,0.3424626202378278,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,0.3839993523851813,Open,Open,Closed,Closed,Closed
162,5.400352020860495,0.314931662645372,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,0.3113454487846568,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,0.4517403247979867,Open,Open,Open,Closed,Closed
165,5.500358539765319,0.524990419706379,Open,Open,Open,Closed,Closed
166,5.533694046066927,0.5658016014531275,Open,Open,Open,Open,Closed
167,5.567029552368536,0.6108875670292027,Open,Open,Open,Open,Closed
168,5.6003650586701434,0.5970274364726968,Open,Open,Open,Open,Closed
169,5.633700564971751,0.5116533371142923,Open,Open,Open,Closed,Closed
170,5.667036071273359,0.5059869569487736,Open,Open,Open,Closed,Closed
171,5.700371577574967,0.4855716389100186,Open,Open,Open,Closed,Closed
172,5.733707083876575,0.3702040514331826,Open,Open,Closed,Closed,Closed
173,5.767042590178183,0.3613989142649541,Open,Open,Closed,Closed,Closed
174,5.8003780964797915,0.3234507271165064,Open,Closed,Closed,Closed,Closed
175,5.833713602781399,0.4369972058399328,Open,Open,Closed,Closed,Closed
176,5.867049109083007,0.3606757426011208,Open,Open,Closed,Closed,Closed
177,5.900384615384615,0.3891579007011089,Open,Open,Closed,Closed,Closed
178,5.933720121686223,0.3462592608712426,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,0.3666958744099776,Open,Open,Closed,Closed,Closed
180,6.000391134289439,0.4096987688138693,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,0.4854619553286946,Open,Open,Open,Closed,Closed
182,6.067062146892655,0.4579414496959163,Open,Open,Open,Closed,Closed
183,6.100397653194263,0.6135347735507983,Open,Open,Open,Open,Open
184,6.133733159495871,0.5386592353594397,Open,Open,Open,Open,Closed
185,6.167068665797479,0.5979265650584428,Open,Open,Open,Open,Closed
186,6.200404172099087,0.4600743409150298,Open,Open,Open,Closed,Closed
187,6.2337396784006955,0.4857018955178444,Open,Open,Open,Closed,Closed
188,6.267075184702303,0.3738833859459577,Open,Open,Closed,Closed,Closed
189,6.300410691003911,0.3495027270631415,Open,Closed,Closed,Closed,Closed
190,6.333746197305519,0.3798333473148298,Open,Open,Closed,Closed,Closed
191,6.367081703607127,0.2707810993288587,Closed,Closed,Closed,Closed,Closed
192,6.400417209908735,0.4220776595245908,Open,Open,Closed,Closed,Closed
193,6.433752716210343,0.4766725456518284,Open,Open,Open,Closed,Closed
194,6.4670882225119515,0.4626360052032525,Open,Open,Open,Closed,Closed
195,6.500423728813559,0.4499847560290553,Open,Open,Open,Closed,Closed
196,6.533759235115167,0.3723154368682377,Open,Open,Closed,Closed,Closed
197,6.567094741416775,0.3872884950990089,Open,Open,Closed,Closed,Closed
198,6.600430247718383,0.3617455799698542,Open,Open,Closed,Closed,Closed
199,6.633765754019991,0.3522131684483615,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,0.3517665894286338,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,0.4504198170103669,Open,Open,Open,Closed,Closed
202,6.733772272924815,0.4365621455760197,Open,Open,Closed,Closed,Closed
203,6.767107779226423,0.5342609117593566,Open,Open,Open,Open,Closed
204,6.800443285528031,0.6057752521982771,Open,Open,Open,Open,Closed
205,6.833778791829639,0.4460550091091437,Open,Open,Open,Closed,Closed
206,6.867114298131247,0.4402903834564056,Open,Open,Closed,Closed,Closed
207,6.900449804432855,0.433125347773345,Open,Open,Closed,Closed,Closed
208,6.933785310734463,0.2985157493939688,Open,Closed,Closed,Closed,Closed
209,6.967120817036071,0.4706284088645335,Open,Open,Open,Closed,Closed
210,7.000456323337679,0.412304208607511,Open,Open,Closed,Closed,Closed
211,7.033791829639287,0.4756076757242033,Open,Open,Open,Closed,Closed
212,7.067127335940895,0.4589407360015354,Open,Open,Open,Closed,Closed
213,7.100462842242503,0.4443959366933285,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,0.3831217582633836,Open,Open,Closed,Closed,Closed
215,7.167133854845719,0.3473070365277327,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,0.3343317102151181,Open,Closed,Closed,Closed,Closed
217,7.233804867448935,0.3860026472366006,Open,Open,Closed,Closed,Closed
218,7.267140373750543,0.397392712963042,Open,Open,Closed,Closed,Closed
219,7.300475880052151,0.5929247928114032,Open,Open,Open,Open,Closed
220,7.333811386353759,0.5884488919063889,Open,Open,Open,Open,Closed
221,7.367146892655367,0.6340626561395676,Open,Open,Open,Open,Open
