frame,timestamp,aspect_ratio_top_lip_heigh_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
0,0.0,0.0755494804934949,Open,Closed,Closed,Closed,Closed
1,0.0333355063016079,0.0809675270254212,Open,Closed,Closed,Closed,Closed
2,0.0666710126032159,0.1185497956727638,Open,Open,Open,Closed,Closed
3,0.1000065189048239,0.1142030952818873,Open,Open,Open,Closed,Closed
4,0.1333420252064319,0.1245204954829389,Open,Open,Open,Closed,Closed
5,0.16667753150804,0.0952473098602108,Open,Open,Closed,Closed,Closed
6,0.2000130378096479,0.126605310244212,Open,Open,Open,Closed,Closed
7,0.2333485441112559,0.1298158166939259,Open,Open,Open,Closed,Closed
8,0.2666840504128639,0.1265804888979785,Open,Open,Open,Closed,Closed
9,0.3000195567144719,0.1230600700494068,Open,Open,Open,Closed,Closed
10,0.33335506301608,0.1237803742498875,Open,Open,Open,Closed,Closed
11,0.3666905693176879,0.1267052322383206,Open,Open,Open,Closed,Closed
12,0.4000260756192959,0.1259840598942076,Open,Open,Open,Closed,Closed
13,0.4333615819209039,0.1267052322383206,Open,Open,Open,Closed,Closed
14,0.4666970882225119,0.1326399675657779,Open,Open,Open,Closed,Closed
15,0.50003259452412,0.1270867970371098,Open,Open,Open,Closed,Closed
16,0.5333681008257279,0.1178863265058659,Open,Open,Open,Closed,Closed
17,0.5667036071273359,0.1186252570398404,Open,Open,Open,Closed,Closed
18,0.6000391134289439,0.1039837233280768,Open,Open,Closed,Closed,Closed
19,0.6333746197305519,0.1116450957664734,Open,Open,Closed,Closed,Closed
20,0.66671012603216,0.1179605271907932,Open,Open,Open,Closed,Closed
21,0.7000456323337679,0.1077658480133075,Open,Open,Closed,Closed,Closed
22,0.7333811386353759,0.1213101202712024,Open,Open,Open,Closed,Closed
23,0.7667166449369839,0.107911008020849,Open,Open,Closed,Closed,Closed
24,0.8000521512385919,0.0971032312561817,Open,Open,Closed,Closed,Closed
25,0.8333876575401998,0.1172540453252768,Open,Open,Open,Closed,Closed
26,0.8667231638418079,0.1324641363999452,Open,Open,Open,Closed,Closed
27,0.9000586701434159,0.1319395876625582,Open,Open,Open,Closed,Closed
28,0.933394176445024,0.1300367640430551,Open,Open,Open,Closed,Closed
29,0.9667296827466318,0.1133811326071908,Open,Open,Open,Closed,Closed
30,1.00006518904824,0.1136369311479101,Open,Open,Open,Closed,Closed
