frame,teeth,lips,action,chew_count
1,closed,closed,other,
2,closed,closed,other,0
3,closed,closed,other,0
4,closed,closed,other,0
5,closed,closed,other,0
6,closed,closed,other,0
7,closed,closed,other,0
8,closed,closed,other,0
9,closed,closed,other,0
10,closed,closed,other,0
11,closed,closed,other,0
12,closed,closed,other,0
13,closed,closed,other,0
14,closed,closed,other,0
15,closed,closed,other,0
16,closed,closed,other,0
17,closed,closed,other,0
18,closed,closed,other,0
19,closed,closed,other,0
20,closed,closed,other,0
21,closed,closed,other,0
22,closed,closed,other,0
23,closed,closed,other,0
24,closed,closed,other,0
25,closed,closed,other,0
26,closed,closed,other,0
27,closed,closed,other,0
28,closed,closed,other,0
29,open,open,bite,0
30,open,open,bite,0
31,open,open,bite,0
32,open,open,bite,0
33,open,open,bite,0
34,open,open,bite,0
35,open,open,bite,0
36,open,open,bite,0
37,open,open,bite,0
38,open,open,bite,0
39,open,open,bite,0
40,open,open,bite,0
41,open,open,bite,0
42,open,open,bite,0
43,open,open,bite,0
44,open,open,bite,0
45,open,open,bite,0
46,open,open,bite,0
47,open,open,bite,0
48,open,open,bite,0
49,open,open,bite,0
50,open,open,bite,0
51,open,open,bite,0
52,open,open,bite,0
53,open,open,bite,0
54,open,open,bite,0
55,open,open,bite,0
56,open,closed,bite,0
57,open,closed,bite,0
58,open,closed,bite,0
59,open,closed,bite,0
60,open,closed,bite,0
61,open,closed,bite,0
62,open,closed,bite,0
63,open,closed,bite,0
64,open,closed,bite,0
65,open,closed,bite,0
66,open,closed,bite,0
67,open,closed,bite,0
68,open,closed,bite,0
69,open,closed,bite,0
70,open,closed,bite,0
71,open,closed,bite,0
72,open,closed,bite,0
73,open,closed,bite,0
74,open,closed,bite,0
75,open,closed,bite,0
76,closed,closed,bite,0
77,closed,closed,bite,0
78,closed,closed,bite,0
79,closed,closed,bite,0
80,closed,closed,bite,0
81,closed,closed,bite,0
82,closed,closed,bite,0
83,closed,closed,bite,0
84,closed,closed,bite,0
85,closed,closed,bite,0
86,closed,closed,bite,0
87,closed,closed,bite,0
88,open,closed,bite,0
89,open,closed,bite,0
90,open,closed,bite,0
91,open,closed,bite,0
92,open,closed,bite,0
93,open,closed,bite,0
94,open,closed,bite,0
95,open,closed,bite,0
96,open,closed,bite,0
97,open,closed,bite,0
98,closed,closed,chew,0
99,closed,closed,chew,0
100,closed,closed,chew,0
101,closed,closed,chew,0
102,closed,closed,chew,0
103,closed,closed,chew,0
104,closed,closed,chew,0
105,closed,closed,chew,0
106,open,closed,chew,1
107,open,closed,chew,1
108,open,closed,chew,1
109,open,closed,chew,1
110,open,closed,chew,1
111,open,closed,chew,1
112,open,closed,chew,1
113,open,closed,chew,1
114,open,closed,chew,1
115,open,closed,chew,1
116,closed,closed,chew,1
117,closed,closed,chew,1
118,closed,closed,chew,1
119,closed,closed,chew,1
120,closed,closed,chew,1
121,closed,closed,chew,1
122,closed,closed,chew,1
123,closed,closed,chew,1
124,closed,closed,chew,1
125,closed,closed,chew,1
126,closed,closed,chew,1
127,open,closed,chew,2
128,open,closed,chew,2
129,open,closed,chew,2
130,open,closed,chew,2
131,open,closed,chew,2
132,open,closed,chew,2
133,open,closed,chew,2
134,open,closed,chew,2
135,closed,closed,chew,2
136,closed,closed,chew,2
137,closed,closed,chew,2
138,closed,closed,chew,2
139,closed,closed,chew,2
140,closed,closed,chew,2
141,closed,closed,chew,2
142,closed,closed,chew,2
143,closed,closed,chew,2
144,closed,closed,chew,2
145,closed,closed,chew,2
146,open,closed,chew,3
147,open,closed,chew,3
148,open,closed,chew,3
149,open,closed,chew,3
150,open,closed,chew,3
151,open,closed,chew,3
152,open,closed,chew,3
153,open,closed,chew,3
154,open,closed,chew,3
155,closed,closed,chew,3
156,closed,closed,chew,3
157,closed,closed,chew,3
158,closed,closed,chew,3
159,closed,closed,chew,3
160,closed,closed,chew,3
161,closed,closed,chew,3
162,closed,closed,chew,3
163,closed,closed,chew,3
164,closed,closed,chew,3
165,open,closed,chew,4
166,open,closed,chew,4
167,open,closed,chew,4
168,open,closed,chew,4
169,open,closed,chew,4
170,open,closed,chew,4
171,open,closed,chew,4
172,open,closed,chew,4
173,closed,closed,chew,4
174,closed,closed,chew,4
175,closed,closed,chew,4
176,closed,closed,chew,4
177,closed,closed,chew,4
178,closed,closed,chew,4
179,closed,closed,chew,4
180,closed,closed,chew,4
181,open,closed,chew,5
182,open,closed,chew,5
183,open,closed,chew,5
184,open,closed,chew,5
185,open,closed,chew,5
186,open,closed,chew,5
187,open,closed,chew,5
188,open,closed,chew,5
189,closed,closed,chew,5
190,closed,closed,chew,5
191,closed,closed,chew,5
192,closed,closed,chew,5
193,closed,closed,chew,5
194,closed,closed,chew,5
195,closed,closed,chew,5
196,closed,closed,chew,5
197,closed,closed,chew,5
198,closed,closed,chew,5
199,closed,closed,chew,5
200,closed,closed,chew,5
201,open,closed,chew,6
202,open,closed,chew,6
203,open,closed,chew,6
204,open,closed,chew,6
205,open,closed,chew,6
206,open,closed,chew,6
207,closed,closed,chew,6
208,closed,closed,chew,6
209,closed,closed,chew,6
210,closed,closed,chew,6
211,closed,closed,chew,6
212,closed,closed,chew,6
213,closed,closed,chew,6
214,closed,closed,chew,6
215,closed,closed,chew,6
216,closed,closed,chew,6
217,closed,closed,chew,6
218,open,closed,chew,7
219,open,closed,chew,7
220,open,closed,chew,7
221,open,closed,chew,7
222,open,closed,chew,7
223,open,closed,chew,7
224,open,closed,chew,7
225,open,closed,chew,7
226,open,closed,chew,7
227,open,closed,chew,7
228,closed,closed,chew,7
229,closed,closed,chew,7
230,closed,closed,chew,7
231,closed,closed,chew,7
232,closed,closed,chew,7
233,closed,closed,chew,7
234,closed,closed,chew,7
235,closed,closed,chew,7
236,closed,closed,chew,7
237,closed,closed,chew,7
238,closed,closed,chew,7
239,closed,closed,chew,7
240,open,closed,chew,8
241,open,closed,chew,8
242,open,closed,chew,8
243,open,closed,chew,8
244,open,closed,chew,8
245,open,closed,chew,8
246,open,closed,chew,8
247,closed,closed,chew,8
248,closed,closed,chew,8
249,closed,closed,chew,8
250,closed,closed,chew,8
251,closed,closed,chew,8
252,closed,closed,chew,8
253,closed,closed,chew,8
254,closed,closed,chew,8
255,closed,closed,chew,8
256,closed,closed,chew,8
257,closed,closed,chew,8
258,closed,closed,chew,8
259,open,closed,chew,9
260,open,closed,chew,9
261,open,closed,chew,9
262,open,closed,chew,9
263,open,closed,chew,9
264,open,closed,chew,9
265,open,closed,chew,9
266,open,closed,chew,9
267,open,closed,chew,9
268,open,closed,chew,9
269,open,closed,chew,9
270,open,closed,chew,9
271,closed,closed,chew,9
272,closed,closed,chew,9
273,closed,closed,chew,9
274,closed,closed,chew,9
275,closed,closed,chew,9
276,closed,closed,chew,9
277,closed,closed,chew,9
278,closed,closed,chew,9
279,closed,closed,chew,9
280,closed,closed,chew,9
281,closed,closed,chew,9
282,open,closed,chew,10
283,open,closed,chew,10
284,open,closed,chew,10
285,open,closed,chew,10
286,open,closed,chew,10
287,open,closed,chew,10
288,open,closed,chew,10
289,open,closed,chew,10
290,open,closed,chew,10
291,open,closed,chew,10
292,closed,closed,chew,10
293,closed,closed,chew,10
294,closed,closed,chew,10
295,closed,closed,chew,10
296,closed,closed,chew,10
297,closed,closed,chew,10
298,closed,closed,chew,10
299,closed,closed,chew,10
300,closed,closed,chew,10
301,closed,closed,chew,10
302,closed,closed,chew,10
303,open,closed,chew,11
304,open,closed,chew,11
305,open,closed,chew,11
306,open,closed,chew,11
307,open,closed,chew,11
308,open,closed,chew,11
309,open,closed,chew,11
310,open,closed,chew,11
311,open,closed,chew,11
312,open,closed,chew,11
313,closed,closed,chew,11
314,closed,closed,chew,11
315,closed,closed,chew,11
316,closed,closed,chew,11
317,closed,closed,chew,11
318,closed,closed,chew,11
319,closed,closed,chew,11
320,closed,closed,chew,11
321,closed,closed,chew,11
322,closed,closed,chew,11
323,closed,closed,chew,11
324,closed,closed,chew,11
325,open,closed,chew,12
326,open,closed,chew,12
327,open,closed,chew,12
328,open,closed,chew,12
329,open,closed,chew,12
330,open,closed,chew,12
331,open,closed,chew,12
332,open,closed,chew,12
333,open,closed,chew,12
334,open,closed,chew,12
335,closed,closed,chew,12
336,closed,closed,chew,12
337,closed,closed,chew,12
338,closed,closed,chew,12
339,closed,closed,chew,12
340,closed,closed,chew,12
341,closed,closed,chew,12
342,closed,closed,chew,12
343,closed,closed,chew,12
344,closed,closed,chew,12
345,closed,closed,chew,12
346,open,closed,chew,13
347,open,closed,chew,13
348,open,closed,chew,13
349,open,closed,chew,13
350,open,closed,chew,13
351,open,closed,chew,13
352,open,closed,chew,13
353,open,closed,chew,13
354,open,closed,chew,13
355,open,closed,chew,13
356,closed,closed,chew,13
357,closed,closed,chew,13
358,closed,closed,chew,13
359,closed,closed,chew,13
360,closed,closed,chew,13
361,closed,closed,chew,13
362,closed,closed,chew,13
363,closed,closed,chew,13
364,open,closed,chew,14
365,open,closed,chew,14
366,open,closed,chew,14
367,open,closed,chew,14
368,open,closed,chew,14
369,open,closed,chew,14
370,open,closed,chew,14
371,open,closed,chew,14
372,open,closed,chew,14
373,open,closed,chew,14
374,open,closed,chew,14
375,closed,closed,chew,14
376,closed,closed,chew,14
377,closed,closed,chew,14
378,closed,closed,chew,14
379,closed,closed,chew,14
