frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,aspect_ratio_between_lips_to_mouth_width,aspect_ratio_top_lip_heigh_to_mouth_width,aspect_ratio_bottom_lip_heigh_to_mouth_width,aspect_ratio__mouth_width__nose_to_chin,aspect_ratio__mouth_width__outside_lips,aspect_ratio__mouth_width__inside_lips,anchor_to_top_lip_top,anchor_to_bottom_lip_bottom,anchor_to_top_lip_bottom,anchor_to_bottom_lip_top,anchor_to_top_lip_top_center,anchor_to_top_lip_bottom_center,anchor_to_bottom_lip_top_center,anchor_to_bottom_lip_bottom_center,anchor_to_chin,anchor_to_nose,teeth,lips,action
1,0.0333355063016079,0.3245004169286126,0.0465087256765856,0.0809675270254212,0.1274346917662431,0.8010818012730895,0.8010818012730895,21.501341639713843,68.78850429981998,67.26322708797697,65.08434269860417,64.13471639848584,88.8396365652352,86.84632253678751,86.71338103434303,90.11950283103602,177.22456534710636,106.37090825727812,closed,closed,other
2,0.0666710126032159,0.3840780737903659,0.0287525487914233,0.1185497956727638,0.1579881463022434,0.7443695564234589,0.7443695564234589,34.77952536501016,74.77874338963875,67.98841625131556,66.19529350858944,66.40297218479319,94.15358835017564,89.30648501751587,88.84632253678751,91.46379717670656,178.96564453269997,121.28477417941716,closed,closed,other
3,0.1000065189048239,0.4352871945735959,0.0914265328131346,0.1142030952818873,0.1597866593031185,0.7019948040257363,0.7019948040257363,10.937743882772908,75.27738741963248,68.20222853812463,65.39053768676114,63.14063130613904,94.72831622974006,89.09120615350939,87.67295529843925,92.118064079345,180.367068593113,127.25355487073844,closed,closed,other
4,0.1333420252064319,0.4339127446801012,0.0507310018025937,0.1245204954829389,0.1643389061601301,0.7218235713489166,0.7218235713489166,19.71181258929669,75.31070236309003,68.52450835629716,65.99800129553105,64.76911489901535,94.7534350686861,89.40955055758852,88.73127800986833,92.69600481307133,179.7059238462423,125.99036545434456,closed,closed,other
5,0.16667753150804,0.3690165654263099,0.0580941172904644,0.0952473098602108,0.1345850565371437,0.7814510754885547,0.7814510754885547,17.21344684523056,73.56884371844528,68.33282889910748,65.8731788476196,65.28393028337555,93.91243608217954,90.43214696619192,89.85684159633628,93.06343276117217,178.59961474143674,117.22404088857652,closed,closed,other
6,0.2000130378096479,0.4173362763121698,0.0804405671382138,0.126605310244212,0.1551650830212666,0.7043607795314784,0.7043607795314784,12.431538408745787,76.59174463773832,67.10006744254636,66.2534187143378,63.71531090445586,95.07078009389636,88.64102698722883,87.2579896731161,90.87449162241552,178.4248583596611,126.8713818223606,closed,closed,other
7,0.2333485441112559,0.4553980780570971,0.0791448733007598,0.1298158166939259,0.1695406681472114,0.7011612659797564,0.7011612659797564,12.635057184309115,77.93301352806222,70.33812034287628,66.80570171703329,65.13371523065125,96.00064940430886,89.73272915582348,88.67118820128044,93.72684119474395,181.10853166730132,129.91110249753024,closed,closed,other
8,0.2666840504128639,0.4199779052465899,0.0513080865351464,0.1265804888979785,0.1718799626786432,0.7091802857920004,0.7091802857920004,19.490105118517555,75.3895265722353,67.25007671860406,65.76473923440416,64.33018001893599,94.5786026508318,88.69542007600876,87.80755964940764,91.45342745582212,179.61911348738874,125.88743881412304,closed,closed,other
9,0.3000195567144719,0.4568164200576267,0.1114509012349444,0.1230600700494068,0.169576437375547,0.6809333229504888,0.6809333229504888,8.972560911750252,75.53644546767852,70.09213999273689,66.00947598612646,63.67294602076672,93.11921440548896,87.06341733798806,85.7952260953447,91.8075343611137,179.898839765319,126.94990822743269,closed,closed,other
10,0.33335506301608,0.4445217091612165,0.1057824122620327,0.1237803742498875,0.1764233243305875,0.6765733542576887,0.6765733542576887,9.453367328426092,75.76170292900699,68.50347205478938,65.83969808434253,63.1653910752746,93.51812299950002,86.97121693357238,85.21395473904352,90.59417150942784,178.80674759778904,127.46759050710529,closed,closed,other
11,0.3666905693176879,0.4623913720357062,0.0573567636409346,0.1267052322383206,0.1838997740279248,0.7034865547328715,0.7034865547328715,17.434735443934905,75.18802248385632,68.07228325194828,65.01226698675276,63.21411960979567,93.9072315052636,88.10914374138808,87.21910987196514,91.96367912525304,177.30675094269012,127.46555567301375,closed,closed,other
12,0.4000260756192959,0.4546691901070154,0.0857353466488418,0.1259840598942076,0.1714706932976836,0.7013675462541356,0.7013675462541356,11.663800743651729,76.60201948027863,69.8508144919301,65.98845715656296,64.12515182025552,94.72831622974006,88.74705143727678,87.68200891967581,93.11447793051836,179.75078521149962,127.8386251130382,closed,closed,other
13,0.4333615819209039,0.4869357395419652,0.0528803232314037,0.1267052322383206,0.1781756266615715,0.6924039494118513,0.6924039494118513,18.91062570899975,74.5034608498888,66.16120475166173,64.14199231333,62.7782934721108,93.93858078188184,88.11948445247415,87.25425061377805,91.36096547883882,177.57463313490206,130.4021926609618,closed,closed,other
14,0.4666970882225119,0.4444932929155822,0.0521727103114723,0.1326399675657779,0.1851768247690171,0.6950692596967037,0.6950692596967037,19.16710851381835,75.210896748523,68.52494174877498,64.33100582878205,63.2892650399988,93.40321789635786,87.54299087940095,86.8171178136682,91.73827577969196,180.13655787396337,126.16607206552725,closed,closed,other
15,0.50003259452412,0.4834946185485364,0.0475865282573139,0.1270867970371098,0.184752999393536,0.6935676135603753,0.6935676135603753,21.014350838807047,73.91015291668744,68.27708763999664,63.6364711876989,62.706901555025894,92.49100267354754,87.25647534528778,86.6723219053285,91.63801809323188,178.3006392540887,127.4927950364352,closed,closed,other
16,0.5333681008257279,0.4100229110443687,0.1009310532172194,0.1178863265058659,0.1579024591508301,0.7214597238233077,0.7214597238233077,9.907753541894024,77.26101832696372,69.19029657826404,66.61457986119677,64.66530224611033,96.50573030212084,90.570142522365,89.19522310655259,94.17637400602868,181.26633121751556,126.19147878509938,closed,closed,other
17,0.5667036071273359,0.4405699452704453,0.0791952519648687,0.1186252570398404,0.1583905039297375,0.70957703186933,0.70957703186933,12.627019615312326,76.50009071456336,67.52923360829945,65.22132921086417,63.122261859045665,95.6096857012741,89.84865395939494,88.6177669573311,92.73158257304632,180.0470186535308,128.4642102476811,closed,closed,other
18,0.6000391134289439,0.3834134585994725,0.1041440684091783,0.1039837233280768,0.156082527469535,0.7163697268171155,0.7163697268171155,9.602083107326244,74.64926058681394,68.51839284282107,65.11670549612658,63.56464859497237,93.03141180699436,88.04048693005296,86.57314548116784,91.26258436020429,180.18489591483885,120.2515898820605,closed,closed,other
19,0.6333746197305519,0.4669177899583689,0.1044747387082797,0.1116450957664734,0.1629303150500947,0.6941557622752202,0.6941557622752202,9.57169180190301,75.36080936309824,69.42876188150592,66.66620053276048,63.65974682122747,93.10524116360756,87.64630902889871,86.16452782702352,91.18827768467408,176.85815054701294,127.18764831773588,closed,closed,other
20,0.66671012603216,0.4195891720854316,0.0899481285362195,0.1179605271907932,0.1572028439353135,0.7170636865764773,0.7170636865764773,11.117518688533124,77.71783897002892,69.02489115392848,66.98741297878951,64.05217929514109,96.4094975481635,90.49478057016918,89.11418860650981,93.51275335035308,181.02590208942263,127.4062845252008,closed,closed,other
21,0.7000456323337679,0.4323763271862234,0.107322060892474,0.1077658480133075,0.1588441818772789,0.7126455892301243,0.7126455892301243,9.317748761849629,76.3423931132268,70.06406656515841,66.59110234594624,64.10844990706883,95.45829046699798,90.12842386633136,88.68362899143327,93.86747444281808,181.3655333199061,126.7011938795388,closed,closed,other
22,0.7333811386353759,0.4117089462042049,0.0826261321091311,0.1213101202712024,0.1667147021431267,0.7388023690430086,0.7388023690430086,12.102708604091712,80.4037054268209,72.10327188998934,69.62163090102827,67.69804741923338,98.52901923117513,92.22391628925132,90.78028831902742,95.25601325905689,179.86920733580592,128.04434796818427,closed,closed,other
23,0.7667166449369839,0.3773544719396469,0.0910497400298923,0.107911008020849,0.1477768764916821,0.7409920286893553,0.7409920286893553,10.983007745784796,74.83689520659065,69.15444639681192,65.5833560209421,64.03723852783827,93.89836452426118,89.08818999178095,88.06788469204983,92.51144536354404,179.6063814098389,119.62615789067614,closed,closed,other
24,0.8000521512385919,0.4086337412937617,0.0915696010878782,0.0971032312561817,0.1429130629308622,0.734071010316591,0.734071010316591,10.920654760091312,74.35901951386339,67.6924223322146,65.33899973858122,63.518799735390985,93.10910043405792,88.76379435504566,87.54603954654274,91.43132970001244,177.5648598409552,121.39957267826256,closed,closed,other
25,0.8333876575401998,0.3553916810318984,0.0935198311724764,0.1172540453252768,0.141937779196303,0.7261661491170176,0.7261661491170176,10.692919217911363,74.07003200941163,67.8022934622256,65.23304510679279,63.633201753851026,92.26827365902136,86.8575872102112,85.73267856238797,89.62111989725561,177.78233116280333,117.37330658910064,closed,closed,other
26,0.8667231638418079,0.4685195871987712,0.0805318769013922,0.1324641363999452,0.1839633312444627,0.6944288589781478,0.6944288589781478,12.417443110440056,76.32505032114372,69.6189446827326,65.59081645293409,63.5815148064836,94.79642436109464,88.29545187343332,87.14372991612271,92.80040811243214,178.28071288428094,129.05373828797354,closed,closed,other
27,0.9000586701434159,0.4749787373137547,0.1017101302424829,0.1319395876625582,0.1852476671301108,0.6522665461128355,0.6522665461128355,9.831862348577674,73.86026817754633,67.3893571636346,62.26138650382656,60.1777176175417,91.36352795929498,84.95493419870368,83.75578486437064,90.2398204299788,180.6797359219567,127.85721778156643,closed,closed,other
28,0.933394176445024,0.4577408247821673,0.1358073016383875,0.1300367640430551,0.1716420286067517,0.6453763515377795,0.6453763515377795,7.363374339493822,75.2620948866286,69.24168402031046,63.91370475947173,61.327597896244235,92.73202938857592,86.13518682861923,84.98471169102282,92.13579245220008,185.93782598856745,128.71882017982358,closed,closed,other
29,0.9667296827466318,0.5158224355615585,0.2137294394948926,0.1133811326071908,0.1784343955500258,0.62969119285912,0.62969119285912,4.678812625735148,77.76345460723974,73.12730488892717,65.8415106682613,62.46569891805031,93.76504320641874,87.08043888819401,85.41335697007341,95.13836621045382,184.8544408184685,133.1987879504864,open,open,bite
30,1.00006518904824,0.5245936845821554,0.2986312250392997,0.1136369311479101,0.1914969092266401,0.6076015893706511,0.6076015893706511,3.3486116526106757,81.38687453614679,77.98756155777045,67.53473437427971,63.90621244469273,96.27960127465744,88.44010594758947,86.43812245846925,99.46097321434726,187.7262821525656,136.25172133702927,open,open,bite
31,1.0334006953498478,0.4799678912983762,0.2744497513484525,0.1606651213493191,0.2623133112878095,0.5553044238362984,0.5553044238362984,3.643654239388833,83.20904146137373,74.26449227691705,63.88952640566109,55.49178670666341,96.4690742451958,84.29314877607911,79.26076744137806,94.69157506638172,187.04710324421129,136.89344036177846,open,open,bite
32,1.066736201651456,0.5129747795119577,0.5048501225209183,0.1143179428513377,0.2046393322841177,0.5669881635108353,0.5669881635108353,1.9807858914772576,88.84150045193198,94.350208920296,74.26493560359971,72.82671756950364,102.80748518225415,92.92279290939656,93.54260064059524,113.25746869420288,198.4128901770864,140.6227550524282,open,open,bite
33,1.1000717079530635,0.509475773682821,0.4916337818045289,0.1498627962371948,0.2682271219772191,0.5403312666352549,0.5403312666352549,2.0340343503848053,91.18076271275802,95.2912202860092,70.74781540887406,67.01877138535654,103.33544240325573,90.15918400755729,88.90151159685593,114.26698412127551,198.46151539420453,141.0541718732615,open,open,bite
34,1.1334072142546718,0.5090071573257948,0.5741852627447932,0.1756588487051098,0.2809793877536436,0.5243741848132769,0.5243741848132769,1.7415981650585617,98.0058813746596,103.4773203552394,73.33586322738178,71.32994048351668,109.30223380806466,92.49893676054003,92.36197730074473,121.23296582200742,200.74683111920444,145.69174740346733,open,open,bite
35,1.16674272055628,0.5592253182706646,0.4724576699645563,0.109160938899893,0.2179857392204434,0.6021798630178874,0.6021798630178874,2.1165917363031057,86.47935565205788,91.46229660230094,72.32410713090135,68.46467531643813,101.31613858344238,92.04772455367018,90.64843057381756,110.4961735209272,184.1274015850807,137.2542755931753,open,open,bite
36,1.2000782268578878,0.4509665026549688,0.4464682522047423,0.1488095238095238,0.2024684684725589,0.5791245558937372,0.5791245558937372,2.2398009154331047,102.40366256674469,79.22447623245776,78.12783822883495,61.860452826206846,114.05007443210656,98.86164470116704,87.10638252024948,101.55242587429164,184.3380716489959,151.05094081673,open,open,bite
37,1.233413733159496,0.3362732521080292,0.2447133330748764,0.088795356773963,0.1570154328524625,0.6240151917656723,0.6240151917656723,4.086414039785989,80.11018332946699,61.7724668450271,68.66913452803246,56.64239716890172,95.9390906522342,88.84679587784191,80.6974558283104,85.85844989937105,183.4301000292469,126.70577491587056,open,open,bite
38,1.2667492394611035,0.4969632552455163,0.4050632911392405,0.1267404075601315,0.2216093848102734,0.5378282842002939,0.5378282842002939,2.46875,82.67334928409193,78.3401119396867,66.63399513821307,58.64553376553954,98.02119172882736,87.68130625042556,83.17792347306133,99.8566606421312,194.52650990879232,140.38494651462625,open,open,bite
39,1.3000847457627118,0.3707461546977973,0.3691966365041669,0.117658803367973,0.2376395290288876,0.6087882105437551,0.6087882105437551,2.708583722399956,90.91761245701272,83.38056001166075,74.57326964171466,62.31285317140066,107.99908515606576,97.16021516418468,89.14266868147175,106.75591497799508,193.97482676010225,137.5864809311427,open,open,bite
40,1.33342025206432,0.3177918931106005,0.3140577821362789,0.1127049479046431,0.2301718734724987,0.6569164952791985,0.6569164952791985,3.18412743412316,86.53658627846661,86.46229065539191,72.29876582472647,65.4599410233788,103.95548024942148,95.1724670608124,92.07841704636598,109.92394161486554,202.15719418886016,127.22471527956144,open,open,bite
