Frames,T095258,T495558,T636709,T094955,T051358,L4955,L5258,L0958,L0952
1,13.0,1479.0,114.0,7284.0,434.5,127.90621564255585,49.03060268852505,90.80198235721508,139.83204210766573
2,19.0,1105.5,48.5,7092.5,1121.0,124.1491039033307,42.20189569201838,96.54014708917737,138.74076545846214
3,50.0,1109.0,124.0,7131.5,984.0,125.13193037750197,41.23105625617661,96.317184344228,137.53908535394584
4,19.5,1259.0,119.5,6980.0,341.0,123.96773773849388,42.20189569201838,92.41753080449618,134.61797799699713
5,70.0,1109.0,126.0,7120.0,1094.5,125.13193037750197,41.23105625617661,96.1041102138717,137.31715115017496
6,19.0,1123.5,109.0,6947.5,1124.0,120.83873551142449,42.20189569201838,96.54014708917737,138.74076545846214
7,70.0,1079.0,18.0,6823.0,1051.5,123.1665539016173,41.23105625617661,93.68030742904295,134.892549831338
8,0.0,1147.5,29.0,7070.0,808.5,125.13193037750197,41.23105625617661,94.83142938920619,136.0624856453828
9,15.0,1114.5,31.0,6975.0,948.0,125.31959144523253,41.23105625617661,93.62157870918435,134.8517704741024
10,58.5,1127.0,55.0,6978.0,1034.0,124.53513560437472,40.024992192379,94.11163583744573,134.12307780542466
11,49.5,1156.0,75.0,6925.5,1145.0,123.35720489699821,42.44997055358225,93.62157870918435,136.0624856453828
12,46.0,1145.0,1.0,6918.0,1040.5,122.0,41.0,94.83142938920619,135.82341477079717
13,45.0,1096.0,38.0,6831.0,1175.0,122.0,41.23105625617661,94.37160589923221,135.5949851580065
14,111.0,1189.0,57.0,6938.0,939.0,121.01652779682617,42.95346318982906,95.33624704172071,138.24615727028365
15,27.0,1129.5,58.0,6927.0,1303.0,121.01652779682617,42.20189569201838,96.04686356149273,138.24615727028365
16,44.0,1188.5,102.5,7030.5,1302.0,123.1665539016173,43.174066289845804,95.0789145920377,138.24615727028365
17,41.0,1047.0,47.5,6998.0,1422.5,123.35720489699821,40.26164427839479,96.54014708917737,136.79546776117988
18,34.5,1172.5,102.5,6957.0,920.5,122.18428704215611,42.44997055358225,94.83142938920619,137.27709204379295
19,78.0,1136.0,52.0,6862.5,1109.5,121.39604606411199,42.20189569201838,94.64142856064674,136.82105101189657
20,14.0,1172.5,27.0,6968.5,976.0,122.18428704215611,42.44997055358225,95.0789145920377,137.5281789307195
21,34.0,1101.0,73.5,6931.5,1282.5,122.18428704215611,41.48493702538308,95.88013350011565,137.3608386695422
22,20.5,1037.0,55.0,6694.0,1565.0,120.41594578792295,41.48493702538308,94.11163583744573,135.5949851580065
23,83.0,1004.0,127.5,6685.5,1521.0,118.25819210524064,39.84971769034255,96.30160954002794,136.12494260788506
24,39.0,985.5,48.0,6588.5,1111.5,118.66338946785567,40.80441152620633,94.64142856064674,135.4400236266961
25,54.0,978.5,63.0,6764.0,1275.0,119.10079764636339,40.52159917870962,97.41663102366043,137.92751719653333
26,72.5,949.5,137.0,6768.0,1146.5,120.07497657713701,40.162171256046406,97.12363255150623,137.26616480400406
27,20.0,1114.0,32.0,6672.0,906.0,118.87808881370864,41.7612260356422,93.68030742904295,135.4400236266961
28,18.0,927.0,155.0,6468.0,1361.0,114.9826073804208,42.05948168962618,96.46242791885346,138.52075656738234
29,43.5,981.0,144.0,6804.0,1155.0,117.63077828527702,38.27531841800928,99.72462083156798,137.99275343292487
30,37.0,1055.5,175.0,6222.5,557.0,114.72575996697516,38.62641583165593,90.47651629014017,129.0968628588627
31,103.0,979.0,217.5,6088.5,918.0,114.84337159801605,37.57658845611187,89.31965069345043,126.84636376341263
32,82.5,1210.0,119.0,5598.0,2842.5,107.83784122468327,40.718546143004666,82.29823813423954,122.98373876248843
33,70.5,1164.0,66.0,5701.5,2499.0,112.27199116431488,38.91015291668744,81.88406438373708,120.7683733433551
34,220.5,890.5,22.0,5142.0,1531.5,94.92101980067429,38.91015291668744,91.80958555619343,130.51053597315428
35,185.0,859.0,76.0,4689.0,4200.0,97.6933979345585,38.58756276314948,81.21576201698781,119.6202324023825
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
