frame,timestamp,feat_nose_to_lips_lips_to_chin,feat_between_lips_to_mouth_width,feat_top_lip_height_to_mouth_width,feat_bottom_lip_height_to_mouth_width,feat_mouth_width_nose_to_chin,feat_mouth_width_outside_lips,feat_mouth_width_inside_lips,status,mouth,action,bite_count,chew_count,chews_per_bite,behind_hand,mouth_open_ratio,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9,label
1,0.0333357593401261,0.4348673175444297,0.0682900574825874,0.1181188141938176,0.1987589646556538,0.7091199425838899,0.7091199425838899,14.643420094572024,,Closed,Other,0,0,0.0,False,0.0682900574825874,64.40496875241847,59.481089431852205,55.08175741568164,53.150729063673246,80.11242100947892,75.31268153505093,74.06078584514209,80.4114419718985,164.24676556937126,109.22453936730518,74.24284477308234,71.11258679024411,66.91038783328041,66.007575322837,92.34717104492157,87.46427842267951,87.02298546935747,92.47702417357512,170.07351351694948,119.09659944767525,161.07762104029226,50.039984012787215,19.026297590440446,11.0,32.01562118716424,115.06954418958998,not-chew
2,0.0666715186802523,0.4741458261836436,0.0411508482788925,0.1177207278007562,0.1704820857268406,0.7491956153678231,0.7491956153678231,24.300835628531335,,Closed,Other,0,0,0.0,False,0.0411508482788925,67.67569726275453,61.09828148156051,58.69412236331676,57.55866572463264,85.61541917201598,81.04936767180853,80.22468448052632,83.24061508662703,161.38463371709216,117.5925167687128,75.13321502504735,70.3846574190711,66.75327707311455,66.06814663663572,94.92101980067427,90.27181176868004,90.0,94.5568612000208,169.61426826773743,123.23960402403117,170.10584939971935,55.00909015790027,20.024984394500787,7.0,29.0,116.0172400981854,not-chew
3,0.1000072780203784,0.4746993039859716,0.0424047772970767,0.1090408559067688,0.1697272501678539,0.7170882164617414,0.7170882164617414,23.58224859888454,,Closed,Other,0,0,0.0,False,0.0424047772970767,65.73431371817918,59.80802621722272,57.97413216254298,56.56854249492381,83.00602387778854,78.08969202141856,77.23341245859851,81.04319835741924,164.98484778912274,115.62439189029276,72.89718787443039,67.77905281132217,65.92419889539804,65.19202405202648,91.76055797563568,88.36288813749809,88.0056816347672,91.09335870413386,167.83920876839238,122.42957159118052,165.07574019219177,57.0350769263968,18.0,7.0,28.0178514522438,120.14990636700472,not-chew
4,0.1333430373605046,0.4756923976572756,0.037536476293752,0.1110772564146789,0.1789578020014272,0.6951411171323872,0.6951411171323872,26.64075317497104,,Closed,Other,0,0,0.0,False,0.037536476293752,63.51377803280167,58.30951894845301,55.54277630799526,54.45181356024793,81.70679286326198,76.94153624668537,77.23341245859851,80.36168241145776,164.17673403987544,114.97825881443848,71.11961754677819,64.62197768561404,63.953107821277925,62.20128616033595,89.8443097808648,86.37129152675674,85.0235261559999,89.1852005660132,171.54008277950666,121.6552506059644,162.04937519163718,58.034472514187634,18.0,6.082762530298219,29.0,122.0,not-chew
5,0.1666787967006307,0.4868489560803089,0.0361124850154377,0.1085045136729882,0.1806627096864629,0.7186180989888413,0.7186180989888413,27.691254134754455,,Closed,Other,0,0,0.0,False,0.0361124850154377,67.67569726275453,60.40695324215582,57.97413216254298,56.88585061331157,85.61541917201598,81.39410298049853,80.50465825031493,83.67795408588812,164.83021567661677,119.85407794480751,71.58910531638176,65.0,62.80127387243033,62.289646009589745,90.80198235721508,86.37129152675674,86.02325267042627,89.49301648732151,166.88319268278636,121.6552506059644,166.14752480852673,58.008620049092706,18.027756377319943,6.0,30.01666203960727,119.15116449284078,not-chew
6,0.2000145560407569,0.491799903844951,0.0428352936878119,0.1031610480504264,0.1697272501678539,0.7235181435662398,0.7235181435662398,23.3452350598575,,Closed,Other,0,0,0.0,False,0.0428352936878119,62.96824596572466,56.462376853972415,55.31726674375732,52.46903848937962,81.34494452638098,77.92945527847606,76.16429609731846,80.36168241145776,161.13658802394943,114.21471008587292,73.348483283569,67.77905281132217,64.77653896280658,65.19202405202648,92.17917335276988,88.2779700718135,89.0,92.34717104492157,169.95587662684687,122.494897852931,165.07574019219177,58.034472514187634,17.029386365926403,7.0710678118654755,28.0178514522438,118.00423721205946,not-chew
7,0.233350315380883,0.4683463859711821,0.0423962211250001,0.1029622513035717,0.1756414875178577,0.711234656074332,0.711234656074332,23.587007838543453,,Closed,Other,0,0,0.0,False,0.0423962211250001,65.19202405202648,59.61543424315552,56.51548460377917,55.44366510251645,83.57032966310472,79.07591289387686,78.23042886243178,81.32035415564789,165.12419568312816,114.21471008587292,71.55417527999327,67.23094525588644,64.77653896280658,64.1248781675256,90.24965373894794,87.28115489611719,87.0,91.706052144883,173.7728402253931,121.82774724995944,165.10905486980417,57.14017850864661,17.0,7.0,29.0,122.00409829181967,not-chew
8,0.2666860747210092,0.4956658711227407,0.0299267094527408,0.1079022854377699,0.1735749148258969,0.7167450286066197,0.7167450286066197,33.41496670655232,,Closed,Other,0,0,0.0,False,0.0299267094527408,62.96824596572466,57.77542730261716,53.9351462406472,53.46026561849464,80.99382692526635,77.64663547121665,77.1621668954417,80.65358020571685,166.0903368652132,115.62439189029276,72.91776189653656,69.46221994724903,65.37583651472461,65.12296062065974,93.86160024205851,90.13878188659972,90.0,94.5568612000208,172.90459797240788,123.9072233568326,167.0748335327616,60.00833275470999,18.027756377319943,5.0,29.0,121.06609764917675,not-chew
9,0.3000218340611353,0.4787149827096433,0.0245353419139179,0.1130631952448725,0.1666194456240227,0.719366005330828,0.719366005330828,40.7575326852379,,Closed,Other,0,0,0.0,False,0.0245353419139179,65.73431371817918,57.584720195551874,56.29387178015027,54.589376255824725,83.57032966310472,78.77182237323191,77.31752712031083,79.81227975693966,168.24089871371942,116.3872845288522,76.02631123499285,70.83784299369935,67.7421582177598,68.26419266350405,93.68030742904295,90.27181176868004,91.0494371207203,94.3716058992322,168.71573726241425,125.99206324209474,168.04761230080004,59.07622195096772,19.0,4.123105625617661,28.0,123.40583454602135,not-chew
10,0.3333575934012615,0.4750920281726065,0.0134641827600502,0.1204273116518121,0.1747233877003649,0.7080743212569187,0.7080743212569187,74.27112494098901,,Closed,Other,0,0,0.0,False,0.0134641827600502,64.89992295835181,57.9396237474839,55.10898293381942,53.75872022286245,82.63776376451628,77.64663547121665,76.4198926981712,79.81227975693966,168.0773631397161,116.3872845288522,74.68600939935136,69.28924880528002,66.48308055437865,67.26812023536856,92.44457799135652,89.1403387922662,90.0499861188218,92.72000862812727,170.47287174210447,123.84264209067892,166.0752841334315,59.033888572581766,20.0,2.23606797749979,29.017236257093817,124.25779653607252,not-chew
11,0.3666933527413876,0.4755486429210577,0.0370116605098802,0.1172035916146208,0.1789960162137574,0.6925201869580936,0.6925201869580936,27.018512172212596,,Closed,Other,0,0,0.0,False,0.0370116605098802,63.00793600809346,56.08029957123981,53.85164807134504,52.61178575186362,80.62257748298549,75.13321502504735,74.33034373659252,78.16009211867653,163.76812876747417,115.25623627379127,73.35529974037323,67.77905281132217,65.76473218982953,65.12296062065974,91.76055797563568,88.2779700718135,88.0056816347672,91.39474820797966,171.91858538273283,123.10970717209916,162.11107303327557,58.034472514187634,19.0,6.0,29.017236257093817,122.03687967167956,not-chew
12,0.4000291120815138,0.4629047932184935,0.0248274858343862,0.1242925040970682,0.1863095628959769,0.6966374108894938,0.6966374108894938,40.27794061269766,,Closed,Other,0,0,0.0,False,0.0248274858343862,63.00793600809346,56.462376853972415,53.600373133029585,52.952809179494906,80.62257748298549,75.95393340703298,75.4254598925323,79.12016177940993,164.84234892769516,113.07077429645558,73.35529974037323,65.92419889539804,64.6297145282261,64.28063471995279,90.80198235721508,86.20904824900923,86.02325267042627,89.49301648732151,168.6475615003075,121.7538500417954,161.11176245079065,56.08029957123981,20.024984394500787,4.0,30.01666203960727,121.1486689980538,not-chew
13,0.4333648714216399,0.4318364952394478,0.0523479086622889,0.1175924880876216,0.1822660435296329,0.6794881090603871,0.6794881090603871,19.10295989953067,,Closed,Other,0,0,0.0,False,0.0523479086622889,60.0,55.036351623268054,50.44799302251776,49.16299421312742,73.40980860893181,70.03570517957252,68.11754546370561,74.0,164.730082255792,105.89145385724004,74.30343195303969,66.48308055437865,64.13267497929586,64.1248781675256,91.39474820797966,85.58621384311844,86.02325267042627,87.93179174792243,163.682619724881,118.1905241548577,154.01298646542764,52.0,18.110770276274835,8.06225774829855,28.0713376952364,120.41594578792296,not-chew
14,0.4667006307617661,0.463149099849136,0.0565858702045234,0.1005971025858195,0.1697576106135704,0.6850262487629064,0.6850262487629064,17.672256278565808,,Closed,Other,0,0,0.0,False,0.0565858702045234,60.21627686929839,52.80151512977634,50.96076922496363,49.25444142409901,74.84650960465692,70.21395872616783,69.1158447825099,72.73238618387272,164.13713778423212,109.01834707974616,74.68600939935136,70.57619995437555,67.89698078707183,67.06713054842886,93.40770846134704,90.448880590088,90.0,93.96275858019496,171.91858538273283,123.23960402403117,159.05030650709227,57.0350769263968,16.0,9.0,27.0,123.14625451064276,not-chew
15,0.5000363901018923,0.455198877649114,0.0246838347588175,0.1174104964486301,0.1790641662319183,0.7009637504399214,0.7009637504399214,40.512343797909296,,Closed,Other,0,0,0.0,False,0.0246838347588175,60.4648658313239,55.54277630799526,52.172789842982326,51.47815070493501,76.69419795525604,72.69112738154499,72.24956747275377,76.53757247260981,165.5294535724685,109.48059188732952,74.24957912338628,70.57619995437555,67.60177512462228,68.18357573492314,94.3716058992322,90.19977827023745,90.0222194794152,93.00537618869136,171.91858538273283,123.3288287465668,162.04937519163718,56.0357029044876,19.026297590440446,4.0,29.017236257093817,123.10158406779338,not-chew
