t_rel,chew
2.133410,1
2.166745,1
2.200079,1
2.233414,1
2.266748,1
2.300083,1
2.333417,1
2.366752,1
2.400086,1
2.433421,1
2.466756,1
2.500090,1
2.533425,1
2.566759,1
2.600094,1
2.633428,1
2.666763,1
2.700097,1
2.733432,1
2.766766,1
2.800101,1
2.833435,1
2.866770,1
2.900104,1
2.933439,1
2.966774,1
3.000108,1
3.033443,1
3.066777,1
3.100112,1
3.133446,1
3.166781,1
3.200115,1
3.233450,1
3.266784,1
3.300119,1
3.333453,1
3.366788,1
3.400122,1
3.433457,1
3.466792,1
3.500126,1
3.533461,1
3.566795,1
3.600130,1
3.633464,1
3.666799,1
3.700133,1
3.733468,1
3.766802,1
3.800137,1
3.833471,1
3.866806,1
3.900140,1
3.933475,1
3.966810,1
4.000144,1
4.033479,1
4.066813,1
4.100148,1
4.133482,1
4.166817,1
4.200151,1
4.233486,1
4.266820,1
4.300155,1
4.333489,1
4.366824,1
4.400159,1
4.433493,1
4.466828,1
4.500162,1
4.533497,1
4.566831,1
4.600166,1
4.633500,1
4.666835,1
4.700169,1
4.733504,1
4.766838,1
4.800173,1
4.833507,1
4.866842,1
4.900177,1
4.933511,1
4.966846,1
5.000180,1
5.033515,1
5.066849,1
5.100184,1
5.133518,1
5.166853,1
5.200187,1
5.233522,1
5.266856,1
5.300191,1
5.333525,1
5.366860,1
5.400195,1
5.433529,1
5.466864,1
5.500198,1
5.533533,1
5.566867,1
5.600202,1
5.633536,1
5.666871,1
5.700205,1
5.733540,1
5.766874,1
5.800209,1
5.833543,1
5.866878,1
5.900213,1
5.933547,1
5.966882,1
6.000216,1
6.033551,1
6.066885,1
6.100220,1
6.133554,1
6.166889,1
6.200223,1
6.233558,1
6.266892,1
6.300227,1
6.333561,1
6.366896,1
6.400231,1
6.433565,1
6.466900,1
6.500234,1
6.533569,1
6.566903,1
6.600238,1
6.633572,1
6.666907,1
6.700241,1
6.733576,1
6.766910,1
6.800245,1
6.833579,1
6.866914,1
6.900249,1
6.933583,1
6.966918,1
7.000252,1
7.033587,1
7.066921,1
7.100256,1
7.133590,1
7.166925,1
7.200259,1
7.233594,1
7.266928,1
7.300263,1
7.333598,1
7.366932,1
7.400267,1
7.433601,1
7.466936,1
7.500270,1
7.533605,1
7.566939,1
7.600274,1
7.633608,1
7.666943,1
7.700277,1
7.733612,1
7.766946,1
7.800281,1
7.833616,1
7.866950,1
7.900285,1
7.933619,1
7.966954,1
8.000288,1
8.033623,1
8.066957,1
8.100292,1
8.133626,1
8.166961,1
8.200295,1
8.233630,1
8.266964,1
8.300299,1
8.333634,1
8.366968,1
8.400303,1
8.433637,1
8.466972,1
8.500306,1
8.533641,1
8.566975,1
8.600310,1
8.633644,1
8.666979,1
8.700313,1
8.733648,1
8.766982,1
8.800317,1
8.833652,1
8.866986,1
8.900321,1
8.933655,1
8.966990,1
9.000324,1
9.033659,1
9.066993,1
9.100328,1
9.133662,1
9.166997,1
9.200331,1
9.233666,1
9.267000,1
9.300335,1
9.333670,1
9.367004,1
9.400339,1
9.433673,1
9.467008,1
9.500342,1
9.533677,1
9.567011,1
9.600346,1
9.633680,1
9.667015,1
9.700349,1
9.733684,1
9.767018,1
9.800353,1
9.833688,1
9.867022,1
9.900357,1
9.933691,1
9.967026,1
10.000360,1
10.033695,1
10.067029,1
10.100364,1
10.133698,1
10.167033,1
10.200367,1
10.233702,1
10.267037,1
10.300371,1
10.333706,1
10.367040,1
10.400375,1
10.433709,1
10.467044,1
10.500378,1
10.533713,1
10.567047,1
10.600382,1
10.633716,1
10.667051,1
10.700385,1
10.733720,1
10.767055,1
10.800389,1
10.833724,1
10.867058,1
10.900393,1
10.933727,1
10.967062,1
11.000396,1
11.033731,1
11.067065,1
11.100400,1
11.133734,1
11.167069,1
11.200403,1
11.233738,1
11.267073,1
11.300407,1
11.333742,1
11.367076,1
11.400411,1
11.433745,1
11.467080,1
11.500414,1
11.533749,1
11.567083,1
11.600418,1
11.633752,1
11.667087,1
11.700421,1
11.733756,1
11.767091,1
11.800425,1
11.833760,1
11.867094,1
11.900429,1
11.933763,1
11.967098,1
12.000432,1
12.033767,1
12.067101,1
12.100436,1
12.133770,1
12.167105,1
12.200439,1
12.233774,1
12.267109,1
12.300443,1
12.333778,1
12.367112,1
12.400447,1
12.433781,1
12.467116,1
12.500450,1
12.533785,1
12.567119,1
12.600454,1
12.633788,1
12.667123,1
12.700457,1
12.733792,1
12.767127,1
12.800461,1
12.833796,1
12.867130,1
12.900465,1
12.933799,1
12.967134,1
13.000468,1
13.033803,1
13.067137,1
13.100472,1
13.133806,1
13.167141,1
13.200476,1
24.467548,1
24.500883,1
24.534217,1
24.567552,1
24.600886,1
24.634221,1
24.667555,1
24.700890,1
24.734224,1
24.767559,1
24.800893,1
24.834228,1
24.867562,1
24.900897,1
24.934232,1
24.967566,1
25.000901,1
25.034235,1
25.067570,1
25.100904,1
25.134239,1
25.167573,1
25.200908,1
25.234242,1
25.267577,1
25.300911,1
25.334246,1
25.367580,1
25.400915,1
25.434250,1
25.467584,1
25.500919,1
25.534253,1
25.567588,1
25.600922,1
25.634257,1
25.667591,1
25.700926,1
25.734260,1
25.767595,1
25.800929,1
25.834264,1
25.867598,1
25.900933,1
25.934268,1
25.967602,1
26.000937,1
26.034271,1
26.067606,1
26.100940,1
26.134275,1
26.167609,1
26.200944,1
26.234278,1
26.267613,1
26.300947,1
26.334282,1
26.367616,1
26.400951,1
26.434286,1
26.467620,1
26.500955,1
26.534289,1
26.567624,1
26.600958,1
26.634293,1
