t_rel,event,height_z,width_s,source
1.510000,closed,-3.962,0.000,video
1.740000,open,2.890,0.000,video
1.920000,closed,-2.095,0.000,video
2.160000,open,10.481,0.000,video
2.440000,closed,-4.878,0.000,video
2.990000,open,1.472,0.000,video
3.760000,open,2.293,0.000,video
4.070000,closed,-1.035,0.000,video
4.460000,open,1.724,0.000,video
4.740000,closed,-1.259,0.000,video
5.160000,open,1.160,0.000,video
5.790000,open,1.799,0.000,video
6.430000,open,1.142,0.000,video
7.100000,open,1.261,0.000,video
7.740000,open,1.227,0.000,video
8.430000,open,1.280,0.000,video
9.830000,open,1.889,0.000,video
10.530000,open,1.848,0.000,video
10.820000,closed,-1.026,0.000,video
11.260000,open,1.693,0.000,video
11.980000,open,1.620,0.000,video
13.280000,open,4.651,0.000,video
13.540000,closed,-2.307,0.000,video
13.990000,open,1.545,0.000,video
18.020000,open,1.883,0.000,video
21.170000,open,1.220,0.000,video
23.880000,closed,-5.102,0.000,video
24.140000,open,10.667,0.000,video
24.390000,closed,-4.125,0.000,video
24.640000,open,5.536,0.000,video
24.920000,closed,-4.175,0.000,video
25.450000,open,2.882,0.000,video
26.160000,open,2.776,0.000,video
26.480000,closed,-1.590,0.000,video
26.790000,open,1.776,0.000,video
27.150000,closed,-2.087,0.000,video
27.470000,open,4.391,0.000,video
27.820000,closed,-1.981,0.000,video
28.120000,open,3.905,0.000,video
28.590000,closed,-2.178,0.000,video
28.850000,open,2.265,0.000,video
29.130000,closed,-1.116,0.000,video
29.450000,open,3.612,0.000,video
29.730000,closed,-1.507,0.000,video
30.420000,closed,-1.939,0.000,video
30.720000,open,3.529,0.000,video
31.980000,open,1.206,0.000,video
32.690000,open,2.081,0.000,video
33.340000,open,1.060,0.000,video
33.990000,open,1.906,0.000,video
34.800000,open,2.373,0.000,video
36.160000,open,2.348,0.000,video
36.910000,open,2.491,0.000,video
37.170000,closed,-1.595,0.000,video
37.710000,open,3.881,0.000,video
37.970000,closed,-1.328,0.000,video
38.420000,open,1.199,0.000,video
38.760000,closed,-1.454,0.000,video
39.120000,open,3.587,0.000,video
39.410000,closed,-1.446,0.000,video
39.850000,open,3.249,0.000,video
40.160000,closed,-1.561,0.000,video
40.740000,closed,-2.312,0.000,video
41.000000,open,9.256,0.000,video
41.260000,closed,-3.308,0.000,video
41.780000,open,1.014,0.000,video
42.670000,open,2.882,0.000,video
43.550000,closed,-1.591,0.000,video
44.170000,open,4.777,0.000,video
44.430000,closed,-1.559,0.000,video
