frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
0,0.000000,,0.032189,0.000000,0.001084,85.819366,0.000000,125.071228,0.000000,1
1,0.033335,,0.015328,-0.016861,-0.004460,91.922226,6.102859,126.926384,1.855156,1
2,0.066669,,0.011213,-0.004115,-0.008752,93.067757,1.145531,126.640945,-0.285439,1
3,0.100004,,0.013241,0.002029,-0.011000,95.162521,2.094765,128.234314,1.593369,1
4,0.133338,,0.012876,-0.000365,-0.010861,94.176285,-0.986237,128.801529,0.567215,1
5,0.166673,,0.013255,0.000378,-0.008682,93.391487,-0.784798,127.420319,-1.381210,1
6,0.200007,,0.013582,0.000328,-0.005123,93.848213,0.456726,128.629257,1.208939,1
7,0.233342,,0.016564,0.002982,-0.000997,94.143669,0.295456,129.421188,0.791931,1
8,0.266676,,0.018814,0.002250,0.002934,92.943855,-1.199814,129.079468,-0.341721,1
9,0.300011,,0.016798,-0.002015,0.006187,95.276886,2.333031,130.243103,1.163635,1
10,0.333345,,0.016601,-0.000197,0.008553,96.249779,0.972893,130.983292,0.740189,1
11,0.366680,,0.014394,-0.002207,0.010132,95.897209,-0.352570,130.690506,-0.292786,1
12,0.400014,,0.013450,-0.000944,0.011145,96.040634,0.143425,131.549789,0.859283,1
13,0.433349,,0.016582,0.003131,0.011847,96.789490,0.748856,131.677353,0.127563,1
14,0.466683,,0.018738,0.002156,0.012460,97.542953,0.753464,133.943085,2.265732,1
15,0.500018,,0.017369,-0.001369,0.013117,97.930702,0.387749,134.738388,0.795303,1
16,0.533353,,0.012644,-0.004725,0.013872,95.233971,-2.696732,136.520706,1.782318,1
17,0.566687,,0.014090,0.001446,0.014698,95.425560,0.191589,137.846085,1.325378,1
18,0.600022,,0.013753,-0.000337,0.015509,95.427910,0.002350,136.821228,-1.024857,1
19,0.633356,,0.012773,-0.000980,0.016163,95.795776,0.367867,138.205292,1.384064,1
20,0.666691,,0.018994,0.006221,0.016508,97.804031,2.008255,137.992203,-0.213089,1
21,0.700025,,0.013236,-0.005757,0.016418,96.528885,-1.275146,138.400726,0.408524,1
22,0.733360,,0.017660,0.004424,0.015815,98.776512,2.247627,137.979736,-0.420990,1
23,0.766694,,0.017436,-0.000224,0.014748,98.439011,-0.337502,139.930206,1.950470,1
24,0.800029,,0.017298,-0.000138,0.013341,99.333305,0.894295,139.952637,0.022430,1
25,0.833363,,0.018179,0.000881,0.011769,98.545441,-0.787865,142.061981,2.109344,1
26,0.866698,,0.014454,-0.003725,0.010196,99.286514,0.741074,141.642670,-0.419312,1
27,0.900032,,0.016665,0.002211,0.008684,99.562340,0.275826,143.342285,1.699615,1
28,0.933367,,0.017821,0.001156,0.007150,98.813866,-0.748474,143.280838,-0.061447,1
29,0.966701,,0.019456,0.001635,0.005374,99.718727,0.904861,143.395874,0.115036,1
30,1.000036,,0.019999,0.000543,0.003079,99.811478,0.092751,142.589447,-0.806427,1
31,1.033371,,0.021245,0.001246,0.000023,99.218407,-0.593071,141.798080,-0.791367,1
32,1.066705,,0.026589,0.005344,-0.003804,98.973068,-0.245338,142.155090,0.357010,1
33,1.100040,,0.024900,-0.001689,-0.008188,99.395622,0.422554,142.873520,0.718430,1
34,1.133374,,0.025754,0.000854,-0.012690,98.181320,-1.214302,143.904022,1.030502,1
35,1.166709,,0.025199,-0.000556,-0.016806,98.827568,0.646248,143.045059,-0.858963,1
36,1.200043,,0.025888,0.000689,-0.020226,98.608498,-0.219070,143.345932,0.300873,1
37,1.233378,,0.027965,0.002077,-0.023053,98.504784,-0.103714,143.730087,0.384155,1
38,1.266712,,0.027292,-0.000674,-0.025991,98.089516,-0.415268,143.809540,0.079453,1
39,1.300047,,0.020837,-0.006455,-0.030184,99.548332,1.458817,141.942108,-1.867432,1
40,1.333381,,0.022266,0.001429,-0.037011,99.295937,-0.252396,141.570496,-0.371613,1
41,1.366716,,0.023217,0.000951,-0.047256,99.139030,-0.156906,141.862869,0.292374,1
42,1.400050,,0.025211,0.001994,-0.060694,98.594788,-0.544243,142.042160,0.179291,1
43,1.433385,,0.021459,-0.003752,-0.075562,97.715950,-0.878838,143.331100,1.288940,1
44,1.466720,,0.019498,-0.001961,-0.088432,97.065025,-0.650925,144.503235,1.172134,1
