t_rel,event,confirmed,chew
2.670000,closed,1,0
2.970000,open,1,0
3.270000,closed,1,0
3.500000,open,1,0
4.210000,closed,1,0
4.560000,open,1,0
5.230000,open,1,0
5.870000,open,1,0
6.540000,open,1,0
6.820000,closed,1,0
7.140000,open,1,0
7.820000,open,1,0
8.540000,open,1,0
9.260000,open,1,0
9.980000,open,1,0
10.760000,open,1,0
11.640000,open,1,0
12.370000,open,1,0
13.210000,open,1,0
14.330000,open,1,0
14.640000,closed,1,0
15.170000,open,1,0
15.460000,closed,1,0
16.000000,open,1,0
16.820000,open,1,0
17.100000,closed,1,0
17.650000,open,1,0
18.550000,open,1,0
18.860000,closed,1,0
19.760000,open,1,0
20.030000,closed,1,0
20.650000,open,1,0
21.420000,open,1,0
22.820000,open,1,0
23.080000,closed,1,0
23.580000,open,1,0
23.940000,closed,1,0
24.790000,open,1,0
25.070000,closed,1,0
26.250000,open,1,0
28.750000,open,1,0
29.840000,open,1,0
30.490000,open,1,0
31.170000,open,1,0
31.800000,open,1,0
32.470000,open,1,0
33.180000,open,1,0
33.580000,closed,1,0
33.850000,open,1,0
34.480000,open,1,0
35.160000,open,1,0
35.840000,open,1,0
36.520000,open,1,0
36.810000,closed,1,0
37.300000,open,1,0
38.050000,open,1,0
38.730000,open,1,0
39.450000,open,1,0
40.270000,open,1,0
41.020000,open,1,0
41.780000,open,1,0
42.050000,closed,1,0
42.500000,open,1,0
43.260000,closed,1,0
43.520000,open,1,0
43.770000,closed,1,0
44.240000,open,1,0
46.490000,open,1,0
46.770000,closed,1,0
47.320000,open,1,0
48.090000,open,1,0
48.490000,closed,1,0
48.920000,open,1,0
49.310000,closed,1,0
49.660000,open,1,0
50.370000,open,1,0
51.110000,open,1,0
51.880000,open,1,0
52.600000,open,1,0
53.330000,open,1,0
54.000000,open,1,0
54.250000,closed,1,0
54.790000,open,1,0
55.450000,open,1,0
57.650000,open,1,0
58.290000,open,1,0
58.980000,open,1,0
59.650000,open,1,0
60.360000,open,1,0
61.350000,open,1,0
61.730000,closed,1,0
62.020000,open,1,0
62.290000,closed,1,0
62.740000,open,1,0
63.290000,closed,1,0
63.590000,open,1,0
64.020000,closed,1,0
64.340000,open,1,0
64.880000,closed,1,0
65.140000,open,1,0
65.460000,closed,1,0
65.800000,open,1,0
66.580000,open,1,0
67.040000,closed,1,0
67.340000,open,1,0
68.120000,open,1,0
68.580000,closed,1,0
68.860000,open,1,0
69.360000,closed,1,0
69.690000,open,1,0
70.540000,open,1,0
71.890000,open,1,0
72.140000,closed,1,0
72.610000,open,1,0
73.010000,open,1,0
73.920000,open,1,0
74.380000,closed,1,0
74.690000,open,1,0
74.950000,closed,1,0
75.380000,open,1,0
75.650000,closed,1,0
76.390000,open,1,0
76.640000,closed,1,0
77.460000,open,1,0
77.750000,closed,1,0
78.930000,open,1,0
